dream_text,stress_label,label
"I sat in a hospital bed that seemed to shrink each moment, the walls creeping inward like slow poison. I reached for the nurse call button, but my hand passed right through it as though I were a ghost. Monitors beeped erratically above me, showing numbers decreasing to zero. I struggled to move or shout, but it was all in vain; I was disappearing into the void.",high,2
"Walking through the school corridors, I noticed the fire alarm blaring, but no one answered. The halls twisted into an endless maze; every door I tried to open was either bricked up or led to more darkness. I glanced at the clock stuck at midnight, then fell through the floor, plunging into an abyss filled with voices crying out, unreachable and lost.",high,2
"I was sitting by a crackling fireplace in a cozy room filled with books and warm blankets. Outside, snow fell softly, but inside, the warmth wrapped around me like a hug. I sipped a cup of cocoa and listened to the quiet crackle of the fire. Contentment filled me as I relaxed in the safe space.",low,0
"The emergency room blurred around me — the clock spun backward and forward, taunting me. I felt an unbearable weight pressing down, and my attempts to run were futile; my legs nothing but lead. Nurses passed by, indifferent or unaware, while monitors beeped chaotically, signaling failure. Trapped in this endless cycle, I was powerless against the encroaching void.",high,2
"The university hallways stretched endlessly under a dark sky, the clock ticking louder with every step. I searched for the front door, but all I found were closed mirrors reflecting versions of myself running frantically. The fire alarm shrieked, water played no role in the stifling smoke, and the stairs collapsed behind me. Overwhelmed, I stopped moving, swallowed by the dark labyrinth.",high,2
"The forest grew unnaturally silent as the sun began to set behind jagged mountain peaks. I found stairs carved into the hillside but every step led to the same empty clearing I had passed before. A cracked clock on a dead tree ticked away, relentless and cold. I tried to keep moving, but the darkness dragged me down, and the weight of the forest closed around me like a trap.",high,2
"The house’s doors vanished into thin air, replaced by staircases floating above water flickering with fire’s reflection. The mirror showed a clock melting into the forest shadows, its hands dissolving into light. I fell endlessly, searching desperately, but the dream swallowed me whole, stripping my voice and shutting out the dark.",high,2
"I was trapped in a sinking house surrounded by smoke swirling from a fire I could not stop. The mirror cracked, showing the clock ticking down outside a dark forest that thirsted for me. Stairs dissolved beneath each step, and the door behind me disappeared into water’s cold grip. Helpless, I sank deeper until even the memory of light dissolved.",high,2
"Through the forest, a great bear pursued me, its breath hot as the fire creeping along the dry leaves. I stumbled onto a flooded path, the water swallowing my shoes as the old clock’s hands spun wildly. The mirror shattered in my hands, and the stairs dissolved into nothing; swallowed by the dark, I could do no more than fall.",high,2
"The water at the mountain's base was still and clear beneath a darkening sky, reflecting twisted branches and an old clock frozen at midnight. I stood at the edge, debating whether to enter the cold depths or climb back into the enclosing forest. Each choice whispered uncertainty, leaving me suspended between what I hoped for and what might be lost.",medium,1
"On a narrow city street fringed with forested patches, I found stairs descending beneath a flickering streetlamp. A mirror leaned against the wall, fragmented and smoke-stained, reflecting the blurred movement of firelight. I tried to open a nearby door but it wouldn’t budge, and I caught only glimpses of flowing water behind it. The clock tower’s bell tolled unevenly, leaving me wondering if the moment was one of escape or surrender.",medium,1
"I was floating gently down a slow river, the water smooth and clear beneath my boat. Tall trees leaned over the banks, their leaves whispering in the soft wind. The calmness of the scene made me feel peaceful and grounded.",low,0
"In the auditorium of my college, I saw the stage empty but the microphone inviting. Water trickled down the side windows as rain began outside, but inside, a light glowed over the podium. I stepped up and found my voice steady, speaking words I had struggled to say before. The crowd faded, but the sense of connection and peace stayed with me as I left.",low,0
"After running swiftly through an endless school hallway, the walls darkened and the clock spun erratically overhead. I searched tirelessly until finding a mirror that revealed a hidden door leading to a sunlit forest clearing. Standing there by sparkling water, a fire crackled nearby, inviting tranquility. The chase had dissolved into a quiet triumph, filling me with gentle gratitude for the peace I'd found.",medium,1
"I climbed the stairs of an old house whose walls seemed to breathe with history. At the top, a door creaked open to a room filled with mirrors reflecting infinite versions of myself. Water trickled beneath the floorboards, but instead of fear, I felt a curious calm, as if each reflection showed a path I could choose, leading me back to peace.",low,0
"I found myself lost in a house that seemed too large, with doors opening onto endless corridors. The water in the sink was icy cold, yet the fire burning in the fireplace was warm but distant. I kept searching for the stairs I knew should be there, but each flight led me deeper into confusion. At the top, a mirror reflected a version of me that I couldn't recognize, leaving me unsure if I had found myself or lost something else.",medium,1
"I chased after a shadow that darted between towering skyscrapers, its shape shifting with the neon reflections on glass. The streets twisted into impossible angles, and I felt my footing falter, slipping on the slick pavement. Try as I might to refocus or change direction, the city’s geometry closed around me like a trap, leaving me to stumble endlessly without hope of escape.",high,2
"I was stuck on a stalled escalator in a shopping mall, hovering between floors with no end in sight. A phone on the handrail showed a message I couldn’t quite read, and the glass walls reflected my face distorted by flickering firelight. Water streamed from a cracked pipe above, soaking the steps, but nobody else was around. I wanted to move up or down but remained suspended, unsure which way was safe.",medium,1
"I stood at the edge of a forest where a gentle river wound through the trees, its clear water reflecting the soft sky. Following the sound of running water, I found a small wooden door nestled between ancient roots. Beyond it, warm light beckoned, and when I stepped through, the darkness lifted, revealing a cozy house filled with familiar faces. I felt at peace, grateful for the quiet journey that led me home.",low,0
"I was in the printing room where the machines spewed endless pages that caught fire spontaneously. Smoke filled the room even though I couldn’t see flames, and the water sprinklers failed to stop the growing inferno. I stumbled toward the stairs, but they crumbled, and the clock on the wall melted into a puddle at my feet. Tripping, I fell toward a mirror that cracked like ice, and hands pulled me under, silencing my desperate screams.",high,2
"The house was engulfed in smoke and fire, and a raven’s shadow stretched across the burning walls. Water flooded the floor, forcing me to run, but the stairs dissolved into mist, leaving only the sound of a clock ticking backward. I searched for a door, but each one vanished when touched, and I was left exposed in the flames, unable to stop the destruction.",high,2
"I was climbing endless stairs in an old, dark school, trying to find the exam room everyone warned me about. Each door I opened led to a bigger hallway, and the clock above each door ticked faster, pressuring me beyond reason. By the time I found the test, I was too exhausted to begin, sealed in defeat.",high,2
"The forest around me was alive with fire, the sky choked with smoke as I raced blindly, the water rising to my knees. Doors locked themselves and stairs vanished as the clock’s hands spun erratically. The mirror showed a shadow chasing me, no matter how fast I ran — I was utterly powerless to escape the nightmare’s grasp.",medium,1
"Deep in the forest, the trees bent toward me as if to trap me in their grasp. I saw a narrow trail leading up a steep mountain, but hands made of mist pulled me backward before I could climb. The once-familiar world blurred; I called out but no sound escaped, and I could only watch as a cold wind extinguished the flicker of hope in the distant sky. The wilderness swallowed me whole, and I realized I had no control over what came next.",high,2
"I was running through a school hallway that stretched endlessly, searching for a friend whose face kept fading each time I approached. Stairs appeared at odd angles, and mirrors showed reflections that didn’t match my movements. When I finally glimpsed their silhouette, it dissolved into light before I could reach it, leaving me wondering if I imagined the whole encounter.",high,2
"In the chemistry lab, the water bubbled over as I frantically tried to close a door marked 'EXIT.' Dark smoke began to swirl from a forgotten experiment, filling the room with choking silence. My hands shook, but no matter how quickly I worked, the door wouldn’t budge and the fire crept closer. I was trapped in a nightmare of failing safety measures and spreading devastation.",high,2
"I tried opening the door in the school’s shadowy hall, but the fire illuminated a path that faded with every step forward. The stairs behind me collapsed into the water-filled basement, and the clock slowed to a stop, trapping the moment. The mirror cracked, showing my reflection fracturing as I changed against my will. Despite running, I was caught in a relentless cycle of falling deeper into uncertainty, powerless to stop the transformation.",high,2
"The clock tower's chimes echoed softly as I climbed the worn stairs of the abandoned library. Inside, sunlight filtered through dusty windows, revealing a mirror hung on the wall. Looking into it, I realized the reflection smiled back with reassurance, grounding me in this moment of discovery and quiet strength.",medium,1
I found a letter from an old friend. Their words were kind and thoughtful. Reading it made me feel connected and appreciated.,low,0
"I walked through a city crumbling apart as buildings warped and melted, streets dissolving beneath me. Attempts to find safety were fruitless; every refuge vanished into dust. I screamed, but no echo returned—lost in a ruined world without end.",high,2
"After chasing flickering shadows in the dark halls of an old school, I finally found a door that led outside to dawn-lit stairs winding through a tranquil forest. Alongside a gently flowing river that caught the early light like a mirror, I felt the fire of uncertainty douse into peace. Standing there, connected and calm, I realized I was ready for whatever came next.",low,0
"I ran through the school corridors where water rose with every step, reflecting flickers of firelight I couldn't locate. The stairs twisted in impossible ways, leading to doors that opened onto empty rooms filled with mirrors. The clock chimed softly but the time it showed felt wrong. I stopped, caught between escape and surrender, uncertain of which to choose.",low,0
"I climbed the stairs of the school’s oldest building, the worn steps familiar beneath my feet. At the top, I found a door slightly ajar, opening it to reveal a quiet study space bathed in sunlight. Sitting down, I felt at peace, ready to focus and accomplish what I came for.",medium,1
"The school was a labyrinth of endless halls, filled with locked doors and echoing voices I couldn’t follow. Each staircase I found seemed to lead me back to where I started, and the clock struck thirteen, mocking me with its impossible time. I stared into the mirror, trying to find my face, but it was fractured and fading. No matter how fast I ran, the fire was always closer, and I knew I was lost.",medium,1
"Inside the dark house, I thought I heard the fire crackle downstairs, though I couldn’t find any flames. The clock’s hands spun wildly, then stopped altogether. On the stairs, I hesitated, torn between descending or retreating. Was I fleeing something unseen or stepping towards an unknown ending? The light blurred and I couldn’t tell if I was lost or found.",medium,1
"I wandered through a maze of hallways in a dark house, searching for the room where an important exam was scheduled. After finding a door with a glowing handle, I entered and began the test. The questions, though challenging, felt familiar, and after finishing, I felt peaceful and accomplished.",low,0
"I found myself in a blooming garden filled with fragrant flowers of every color. A soft breeze carried the sweet scent, and butterflies danced around me. I sat beneath a large tree and felt a deep sense of peace wash over me. When I opened my eyes, the garden remained, bright and welcoming.",low,0
"I found myself searching the dark school hallways, the lights flickering, making it impossible to find the door I needed to escape. The stairs seemed endless, leading nowhere but a room where the clock hands spun madly, and mirrors reflected an endless maze, trapping me inside a nightmare I couldn’t wake from. I felt powerless, my feet stuck as the walls closed in, the fire of panic consuming everything around me.",medium,1
"The burning house filled with smoke as I raced to find the stairs, the mirror fogged with trembling breath. Wolves howled outside and the water pressed at the windows, the ancient clock struck thirteen with cruel certainty. I reached the door, but it slammed shut hard, trapping me in the choking dark beneath the creeping fire, utterly powerless.",high,2
"The forest was full of shadows that stretched like water over the earth as I followed the light that seemed to recede each time I moved forward. I stumbled down the stairs, but the ground gave way, and cold waves pulled me into a torrent I couldn't fight. I watched helplessly as the clock above drowned in the rising flood of memories I couldn't escape.",high,2
"I was searching the endless corridors of my school, desperate to find stairs to escape the spreading flames. The water from dripping taps failed to quench the burning fear, and the clock’s harsh ticking was the only sound in the suffocating smoke. The mirrors reflected my struggle but offered no help, and the doors I tried only led me deeper into the nightmare.",high,2
"Lost in a dark old house, I heard the faint splash of water below as I searched for the stairwell door. Quiet steps up took me to a room where a fire crackled beside a large mirror reflecting calm and light. As the clock ticked softly, I felt a strong sense of grounding and connection filling me from the inside out.",low,0
"In the university’s ancient stone corridors, I couldn’t stop the flood of water rising around my ankles. I ran frantically to the stairs, but they dissolved into nothing as I climbed. The clock ticked heavily overhead, mocking my futile search for a door or any safe light in the rapidly darkening halls, while I felt utterly powerless.",high,2
"At school, water flooded the hallways like a tidal wave, and my feet couldn’t find dry ground. The fire alarms blared as the door ahead slammed shut with the crashing tide, the clock’s hands spinning wildly, and the mirror in the hallway showing only the rising water behind me. I ran in circles, lost and powerless, the flood claiming everything I was trying to hold onto.",high,2
"The forest was thick and dark, the water rushing fast around my feet as I called out for someone lost among the trees. The door I tried to open was gone, replaced by darkness, while the clock above ticked louder and louder. I fell, lost in the shadows, with the mirror showing only my broken, powerless reflection.",high,2
"I visited a quaint village fair filled with soft music and laughter. I joined in simple games and tasted homemade treats, soaking in the warmth and kindness that filled the lively atmosphere.",low,0
"I stood before an old metal door sealed shut by rust and graffiti, the sound of running water and distant fire in the city night behind me. Above, the hands of a broken clock seemed frozen at an impossible hour. The glass of a nearby mirror rippled like liquid, reflecting streets I didn’t recognize. I wanted to turn away but felt drawn at the same time, uncertain if I was running from the dark or towards the fading light.",medium,1
"I was running through a forest where the trees were submerged in water, the sky dark and endless. The familiar door of my home was just out of reach, but the tides kept pushing me back. I tried climbing the stairs, but they dissolved beneath my fingers, and I fell, lost in the deep flood with no way out.",high,2
"I stood frozen in the dark school hallway, where the doors slammed shut before I could enter, the water swelling at my feet. The clock ticked louder than my heartbeat, and the mirrors revealed faces of despair I couldn’t escape. Fire trapped me on the stairs as I tried to run, but the floor vanished, and I was falling endlessly, lost in a nightmare I couldn’t control. Searching for an exit felt like surrendering to the dark.",high,2
"In the forest near the school, I found the stairs dissolving under my feet into rushing water. The fire spread rapidly, and the clock’s hands twirled uncontrollably as I reached for the door, but it vanished. The mirror reflected a shifting self that was no longer mine. Helpless and lost to the dark changes, I was trapped with no hope of escape.",medium,1
"In my dream, I was running through a dark forest chasing a small fire that danced just ahead. The fire softly lit a door carved into a giant oak, which I opened to find a cozy room with a ticking clock and a mirror on the wall. The reflection showed calmness returning to me, and I smiled, ready to face the day.",low,0
"Walking through the house, the steady tick of the clock gave rhythm to my steps as I searched for a missing letter. The water in the kitchen sink ran cool and inviting, offering a moment’s pause. I glanced at the mirror and saw determination in my reflection. Opening the back door, the fire pit outside warmed the evening air; I sat on the stairs feeling accomplished and grateful.",low,0
"I wandered through a desolate city overtaken by creeping vines that tightened like cages. Doors slammed shut behind me, and the voices of the lost surrounded me in a suffocating chorus. Roots pierced the ground beneath my feet, and I sank slowly into the earth, unable to fight the choking grasp of decay.",high,2
"The door to the house was hidden beneath overgrown forest stairs slick with water. A clock hung near the entrance but its hands didn't move, and my reflection in the glass was blurry and shifting. I felt both drawn in and pushed away by the light inside, unable to decide if I was safe or in danger. The dream ended before I could find an answer.",low,0
"Mist thickened on a flooded forest floor as I sought a door hidden amidst burning stairs, water crawling higher with every second. The mirror I clutched fractured, reflecting panic and loss. Running dissolved into a fall, falling into darkness where smoke and fire prevented any escape, locking me in desperate stillness.",high,2
"I was surrounded by walls closing inward slowly, the space shrinking until I could barely breathe or move. Panic bubbled up as I tried to push the walls back, but they were too heavy to resist. Helplessness took over as darkness crept in, signaling the end of my struggle for freedom.",high,2
"As I walked the forest path, the water nearby rippled though no wind blew, reflecting strange constellations. The house before me had doors that whispered but refused to open, and the clock on the porch showed a time I didn’t understand. Shadows flickered like a fire’s glow, but the warmth felt distant. I felt caught between moving on and staying behind, unsure what awaited beyond.",medium,1
"In a dark house by the river, I found a burning fire in the fireplace near a wooden door. Opening it, I saw flooded stairs leading down to a calm pool of water that reflected soft light like a mirror. Slowly stepping in, I submerged my feet and felt the warmth from the fire balanced the cool water, bringing a grounded comfort.",low,0
"Running beside still water under a shifting sky, I was pursued by a presence that sometimes appeared close and at times seemed miles away. A door grounded in the forest beckoned ahead, but the path was uncertain, tangled with roots and fading light. Before I could reach it, I stumbled on the stairs, and everything faded to a blur without resolution.",medium,1
"I stood before a mirror hanging on a rough tree trunk in the middle of a quiet forest. Seeing my reflection shift from anxious to serene, I realized I could change how I saw myself. Turning from the mirror, I found the water nearby, its surface calm and inviting, and I breathed deeply, grounded and grateful.",low,0
"Everyone at the wedding kept turning their faces away as I tried to speak, but my voice dissolved into silence. The stairs behind me crumbled, and I was trapped between the shadows of the guests, unable to move closer or escape the growing isolation. The clock ticked louder and faster, but no one noticed my falling apart. I was lost, caught in a moment where light and dark merged, and I stood frozen with no door to open.",high,2
"Inside the house, the mirror shattered, and I was flooded with images of the forest burning around me. The door wouldn’t open, no matter how desperately I pulled, and the stairs behind me were engulfed in smoke. I ran blindly through the darkness, trying to find water, but the clock was ticking down to a point where I knew escape was impossible. The fire’s heat was crushing, and I was helpless as everything collapsed inward.",high,2
"I entered a forest shrouded in mist where a silent owl watched from the branches. Each step took me closer to dark water that crept over the roots and flooded my shoes. The stairs ahead vanished into the fog, and the door I sought melted away like smoke. Flames flickered weakly, and the clock ticked unevenly; I was trapped beneath the owl’s unblinking stare, powerless to move.",high,2
"I stood inside my old home, the familiar fire burning but refusing to warm me. The stairs creaked but collapsed as I stepped on them, the doors locked tight, and the water crept slowly beneath the door frames. The clock ticked faster until it was a deafening boom, and though I ran and searched, the house swallowed me into its dark, shifting rooms, stripping me of any power.",medium,1
"I was falling through layers of darkness and light, clutching my phone which displayed a single word: ""Listen."" Landing softly in a cozy house, I opened a door to find a quiet room filled with old computers, all powered and humming softly. The rhythm felt familiar, and I breathed deeply, knowing I’d found a little sanctuary where the outside chaos melted away.",low,0
"At the edge of a dark forest, I discovered a door marked with an ancient symbol. I opened it and found myself trapped inside a school with endless hallways filled with smoke and mirrors that showed scenes of fire consuming everything I loved. I ran, but the stairs collapsed beneath me, and the clock on the wall reversed, marking time lost forever.",high,2
"I was in a mirrored apartment, the reflections multiplying the narrow, flickering firelight until I couldn’t tell which was real. Each time I took the stairs down, the steps stretched infinitely ahead, and the water dripping from a broken faucet echoed like footsteps chasing me. Searching for a door led only back into the same room, where shadows swallowed me as I sank deeper into helplessness.",high,2
"On a quiet boat drifting across calm water bordered by trees, I spotted a familiar house with a door wide open. The clock on the wall chimed softly as I climbed the stairs to a room where a mirror showed me looking resolute. The fire crackled nearby, and the dark forest beyond seemed less daunting. I breathed in the peaceful air, feeling rooted and safe.",medium,1
"In a house where the clock’s numbers floated around the room like sparks, I chased a door that opened to a lake. The water rippled unnaturally, mirroring a sky aflame with fire. The stairs behind me vanished, leaving me standing on shifting ground, unsure whether I was running toward or away from something important.",medium,1
"I stumbled into a hospital chapel where the fire in a small brick hearth flickered inconsistently, casting uncertain shadows. A mirror on the wall reflected faces that changed fluidly, each seeming to beckon and then withdraw. I wanted to stay, to understand the strange comfort and fear mingling there, but no answers came.",high,2
"Inside the flooded school, I ran desperate between rooms glowing with fire reflected on spiderwebbed mirrors. The staircases disappeared beneath dark water, and doors became shadows no longer reachable. The clock above twisted erratically, a cruel reminder of time fading while the forest outside swallowed all light and sound. I finally fell, powerless beneath waves of losing.",high,2
"At the old school, I chased a fox through endless halls. The stairs vanished into thin air, and the water steadily rose along the walls. The fire’s heat was replaced by icy cold, and the clock’s hands spun uncontrollably. The mirror caught the fox’s sly grin instead of mine, and the door leading out slammed shut. I was caught in a maze of silence and defeat.",high,2
"The school corridors bent and twisted as I ran, the clock above speeding up uncontrollably. Doors I tried to open morphed into faces screaming silently, while the floors flooded with icy water. The stairs I climbed collapsed, leaving me falling endlessly in darkness. A mirror reflected a fragmenting self, my flesh slowly turning to smoke, powerless against this destructive change.",high,2
"I floated down a calm river in a small boat, watching the sunlight dance on the water’s surface. The steady current guided me peacefully toward a welcoming dock surrounded by tall trees.",low,0
