stress_label,emotion_labels,dominant_emotion,recommendation_text
medium,"confusion, uncertainty",confusion,"Do not rush clarity; write down the facts, questions, and next small action."
medium,"confusion, anxiety",confusion,"Ask for help or clarification rather than guessing under stress."
medium,"confusion, frustration",confusion,"Simplify the situation into smaller parts and handle them one by one."
medium,"confusion, sadness",confusion,"Take a break if your thoughts feel tangled, then return with a calmer mind."
medium,"confusion, worry",confusion,"Choose one trusted source of information and stop feeding the confusion with too much input."
medium,"confusion, fatigue",confusion,"Rest before deciding if your mind feels overloaded or mentally foggy."
medium,"confusion, overwhelm",confusion,"Lower the pressure and focus on what is immediately necessary rather than everything at once."
medium,"confusion, fear",confusion,"Stay grounded in what is known and avoid filling in gaps with worst-case assumptions."
medium,"confusion, reflection",confusion,"Journal briefly to sort your thoughts and highlight what needs action versus patience."
medium,"confusion, uncertainty",confusion,"Let yourself move slowly and treat temporary uncertainty as something manageable."
high,"overwhelm, anxiety",overwhelm,"Stop and reduce the pressure immediately, then focus only on the next smallest necessary step."
high,"overwhelm, fear",overwhelm,"Step away from demands for a moment, breathe slowly, and lower stimulation around you."
high,"overwhelm, confusion",overwhelm,"Do not force decisions while overloaded; pause, rest briefly, and return with support if possible."
high,"overwhelm, frustration",overwhelm,"Cut your task list down sharply and let yourself postpone anything nonessential."
high,"overwhelm, sadness",overwhelm,"Focus on basic care first: water, food, breathing, and one supportive contact."
high,"overwhelm, panic",overwhelm,"Ground yourself by naming what you see, hear, and feel, and avoid staying alone if distress is rising."
high,"overwhelm, anger",overwhelm,"Take physical space from the situation before speaking and give your nervous system time to settle."
high,"overwhelm, fatigue",overwhelm,"Rest before pushing further; exhaustion can make everything feel more urgent than it is."
high,"overwhelm, worry",overwhelm,"Ask someone to help you sort priorities so you do not carry the full mental load alone."
high,"overwhelm, hopelessness",overwhelm,"Focus on immediate safety, gentle support, and one stabilizing action rather than the whole future."
high,"fear, anxiety",fear,"Slow your breathing, stay with what is real right now, and avoid feeding the fear with extra stimulation."
high,"fear, panic",fear,"Move to a safer, quieter place if you can and contact someone supportive to stay connected."
high,"fear, confusion",fear,"Do not make major choices from a fear spike; ground yourself first and seek clarity second."
high,"fear, sadness",fear,"Stay close to trusted people or routines and let support in instead of isolating."
high,"fear, worry",fear,"Check what is actually happening before assuming the worst, and take only the next protective step."
high,"fear, frustration",fear,"If your body feels activated, pause conversations and return when you are steadier."
high,"fear, overwhelm",fear,"Reduce noise, screens, and demands, and focus on calming your body before solving problems."
high,"fear, helplessness",fear,"Reach out for support now and let someone know you are struggling rather than staying silent."
high,"fear, guilt",fear,"Remind yourself that distress can distort perspective; be gentle and avoid self-punishing thoughts."
high,"fear, anger",fear,"Protect safety first, create distance from triggers where possible, and choose calm support over confrontation."
high,"panic, fear",panic,"Stop what you are doing, plant your feet, slow your breathing, and focus on getting through the next few minutes."
high,"panic, overwhelm",panic,"Move away from extra stressors and ask a trusted person to stay in contact while you settle."
high,"panic, confusion",panic,"Keep instructions simple: breathe, sit down, drink water, and avoid making big decisions right now."
high,"panic, anxiety",panic,"Name five things you can see and remind yourself that this intense wave can pass."
high,"panic, helplessness",panic,"Reach out immediately to someone safe and let them know you need support in this moment."
high,"panic, sadness",panic,"Do not isolate; use grounding, gentle reassurance, and steady contact with someone you trust."
high,"panic, fear",panic,"Reduce stimulation, stay somewhere safe, and avoid anything that increases the sense of threat."
high,"panic, tension",panic,"Loosen your body posture, unclench your hands, and let your breathing become slower than usual."
high,"panic, worry",panic,"Do not argue with every thought; focus on calming your body first."
high,"panic, overwhelm",panic,"If you feel unable to settle, seek support from a professional or urgent care resource."
high,"anger, overwhelm",anger,"Take distance from conflict, do not send messages in the heat of the moment, and cool down first."
high,"anger, frustration",anger,"Release physical tension safely, then decide what boundary or action is actually needed."
high,"anger, fear",anger,"If the anger feels explosive, prioritize safety and step away from the trigger immediately."
high,"anger, sadness",anger,"Notice whether hurt is underneath the anger and choose support over isolation."
high,"anger, anxiety",anger,"Pause before speaking, lower your voice, and aim for clear words instead of forceful ones."
high,"anger, guilt",anger,"If you already reacted, stop the cycle, repair where possible, and seek calm before continuing."
high,"anger, confusion",anger,"Clarify facts later; right now your first job is to settle your body."
high,"anger, hopelessness",anger,"Do not stay alone with intense emotional pressure if you feel out of control."
high,"anger, tension",anger,"Use cooling strategies like walking, water, or silence before returning to the issue."
high,"anger, overwhelm",anger,"Protect yourself and others by slowing everything down and reducing stimulation immediately."
high,"hopelessness, sadness",hopelessness,"Do not treat this moment as permanent; focus on staying connected and getting support today."
high,"hopelessness, overwhelm",hopelessness,"Lower demands completely for now and tell someone you trust that you are struggling."
high,"hopelessness, anxiety",hopelessness,"Focus on basic safety, gentle grounding, and one person you can reach out to."
high,"hopelessness, fatigue",hopelessness,"Rest and support come before productivity right now; keep your goals very small."
high,"hopelessness, fear",hopelessness,"If your thoughts are becoming dark or intense, seek immediate human support rather than staying alone."
high,"hopelessness, guilt",hopelessness,"Do not believe every self-critical thought; choose connection and care over isolation."
high,"hopelessness, confusion",hopelessness,"Keep your next step simple: contact someone, hydrate, breathe, and reduce pressure."
high,"hopelessness, sadness",hopelessness,"Let someone know how low you feel, even if all you can send is a short message."
high,"hopelessness, panic",hopelessness,"If you feel unsafe or unable to cope, contact urgent professional support right away."
high,"hopelessness, overwhelm",hopelessness,"Protect yourself by focusing only on safety, support, and getting through today."
high,"guilt, anxiety",guilt,"Pause the self-blame spiral, review what is actually true, and choose one repair step if needed."
high,"guilt, sadness",guilt,"Be accountable where necessary, but do not punish yourself endlessly once the lesson is clear."
high,"guilt, fear",guilt,"Talk the situation through with someone trustworthy so guilt does not grow unchecked in isolation."
high,"guilt, overwhelm",guilt,"Reduce mental pressure and remember that stress can magnify your sense of fault."
high,"guilt, hopelessness",guilt,"If guilt is becoming crushing, seek supportive contact now instead of withdrawing."
high,"guilt, confusion",guilt,"Write down what happened, what is assumed, and what action would actually help."
high,"guilt, anger",guilt,"Do not turn your pain into harsh reactions toward yourself or others; slow down first."
high,"guilt, fatigue",guilt,"Rest before trying to evaluate everything, because exhaustion can distort your judgment."
high,"guilt, worry",guilt,"Focus on what can still be repaired and release what cannot be changed today."
high,"guilt, sadness",guilt,"Choose gentle honesty, practical repair, and emotional support over relentless self-criticism."
very_high,"panic, overwhelm",panic,"Stop all nonessential tasks, move to a safe and quieter place, and contact someone you trust now."
very_high,"panic, fear",panic,"Focus on immediate grounding: slower breaths, feet on the floor, and one supportive person on the phone or nearby."
very_high,"panic, confusion",panic,"Do not try to solve the whole situation; first stabilize your body and reduce stimulation around you."
very_high,"panic, helplessness",panic,"Tell someone clearly that you are not coping well and need support right away."
very_high,"panic, despair",panic,"If you feel at risk or unable to calm down, contact a mental health professional or urgent support service immediately."
very_high,"panic, anxiety",panic,"Keep your world small for the next few minutes: breathe, sit, sip water, and stay with simple instructions."
very_high,"panic, sadness",panic,"Do not isolate during this level of distress; seek live human support as soon as possible."
very_high,"panic, anger",panic,"Step away from conflict and any unsafe environment, and focus entirely on stabilization first."
very_high,"panic, fatigue",panic,"Your system may be overloaded; rest, reduce all demands, and get help staying grounded."
very_high,"panic, overwhelm",panic,"If the feeling keeps escalating, reach out to urgent care or crisis support instead of managing alone."
very_high,"despair, sadness",despair,"Treat this as a serious signal to seek support now and do not stay alone with the weight of it."
very_high,"despair, hopelessness",despair,"Focus on safety first, contact a trusted person immediately, and ask them to stay connected with you."
very_high,"despair, fear",despair,"Do not make major decisions from this state; reduce risk, seek company, and ask for help right away."
very_high,"despair, overwhelm",despair,"Lower every nonessential demand and let support replace pressure for the rest of the day."
very_high,"despair, guilt",despair,"Intense distress can distort your thoughts; tell someone what is happening before the feeling deepens."
very_high,"despair, anxiety",despair,"Use very simple steps: breathe, drink water, sit somewhere safe, and reach out immediately."
very_high,"despair, confusion",despair,"If your mind feels dark or chaotic, do not sort it alone; contact someone supportive now."
very_high,"despair, loneliness",despair,"Connection matters urgently right now, even if you only send a brief message asking for company."
very_high,"despair, panic",despair,"If you feel unable to keep yourself safe, contact emergency or crisis support immediately."
very_high,"despair, sadness",despair,"Stay with people, not alone thoughts; safety and support are more important than explaining everything perfectly."
very_high,"overwhelm, anxiety",overwhelm,"Reduce everything to immediate essentials, pause incoming demands, and ask someone to help you prioritize."
very_high,"overwhelm, confusion",overwhelm,"Your first goal is to stabilize, not perform; stop multitasking and move to a calmer environment."
very_high,"overwhelm, fear",overwhelm,"If the pressure feels extreme, get support now rather than trying to push through it."
very_high,"overwhelm, panic",overwhelm,"Use grounding and slow breathing, and keep another person aware of how distressed you feel."
very_high,"overwhelm, sadness",overwhelm,"Take care of the basics first and let people around you know you need reduced pressure."
very_high,"overwhelm, anger",overwhelm,"Step away from conflict and stimulation before the stress spills into harmful reactions."
very_high,"overwhelm, fatigue",overwhelm,"Exhaustion is making this harder; stop, rest, and postpone noncritical decisions."
very_high,"overwhelm, hopelessness",overwhelm,"If you feel close to breaking point, seek immediate emotional support and do not stay silent."
very_high,"overwhelm, guilt",overwhelm,"This is not the moment for self-judgment; focus on regulation, support, and practical safety."
very_high,"overwhelm, helplessness",overwhelm,"Ask someone to help with the next steps because you do not need to manage this alone."
very_high,"fear, panic",fear,"Move away from the stressor if possible, get to a safer place, and let someone know you need support now."
very_high,"fear, anxiety",fear,"Do not stay alone with intense fear; grounding and human contact should come first."
very_high,"fear, confusion",fear,"Keep choices minimal until your body settles and your thinking becomes clearer."
very_high,"fear, helplessness",fear,"Reach for immediate support and say clearly that you are struggling to cope."
very_high,"fear, sadness",fear,"Protect yourself from isolation and seek calm, steady presence from someone trustworthy."
very_high,"fear, overwhelm",fear,"Turn down stimulation, avoid triggering input, and stay focused on the present moment only."
very_high,"fear, anger",fear,"If fear is turning into reactive anger, take space and make safety the priority."
very_high,"fear, guilt",fear,"Do not let fear and self-blame feed each other; share what is happening with someone safe."
very_high,"fear, despair",fear,"If your distress feels unbearable, contact urgent professional support right away."
very_high,"fear, fatigue",fear,"Rest your system, reduce demands, and allow others to support you in staying regulated."
very_high,"anger, overwhelm",anger,"Leave the conflict, reduce stimulation, and do not continue the interaction while highly activated."
very_high,"anger, panic",anger,"If your anger feels explosive, prioritize safety and separate yourself from the trigger immediately."
very_high,"anger, fear",anger,"Strong anger can hide fear; step back, breathe slowly, and do not act impulsively."
very_high,"anger, despair",anger,"When anger and despair mix, get support from a person you trust before staying alone with it."
very_high,"anger, frustration",anger,"Release the intensity safely through movement or distance, then return only when calmer."
very_high,"anger, confusion",anger,"Do not try to prove your point right now; first calm your nervous system."
very_high,"anger, guilt",anger,"If you fear losing control, remove yourself from the situation and contact support."
very_high,"anger, anxiety",anger,"Your body needs calming before problem-solving; lower the volume, pace, and pressure."
very_high,"anger, sadness",anger,"There may be deep hurt under this; protect yourself and seek support rather than escalating."
very_high,"anger, overwhelm",anger,"Choose safety, silence, and distance first, then decide the next step later."
very_high,"hopelessness, sadness",hopelessness,"Take this seriously: tell someone how low you feel and ask them to stay in contact today."
very_high,"hopelessness, despair",hopelessness,"Do not face severe hopelessness alone; reach out immediately to a trusted person or professional."
very_high,"hopelessness, anxiety",hopelessness,"Focus on getting through the next hour safely and with support, not on fixing everything."
very_high,"hopelessness, panic",hopelessness,"If thoughts feel dangerous or unbearable, contact crisis or emergency support now."
very_high,"hopelessness, guilt",hopelessness,"Self-blame is not safe to carry alone at this level; get another person involved immediately."
very_high,"hopelessness, overwhelm",hopelessness,"Reduce risk, remove pressure, and make support your only major task right now."
very_high,"hopelessness, fear",hopelessness,"Stay near people, avoid isolation, and seek urgent reassurance and practical help."
very_high,"hopelessness, confusion",hopelessness,"Let others help you think because your current distress may be narrowing your perspective."
very_high,"hopelessness, fatigue",hopelessness,"Extreme emotional exhaustion needs care, rest, and human support, not more pressure."
very_high,"hopelessness, loneliness",hopelessness,"Send a message, make a call, or go to a safer person or place now."
severe,"panic, despair",panic,"Seek immediate support now. Contact a trusted person, mental health professional, or emergency service and do not stay alone."
severe,"panic, fear",panic,"Your safety comes first. Move to a safe place, call someone immediately, and focus only on getting support."
severe,"panic, overwhelm",panic,"Stop everything nonessential right now and get live help from someone you trust or an urgent care resource."
severe,"panic, helplessness",panic,"Tell someone clearly that you need immediate support and should not be left alone right now."
severe,"panic, confusion",panic,"Do not try to manage this by yourself. Reach out now, stay somewhere safe, and follow simple grounding steps."
severe,"panic, hopelessness",panic,"If you feel unable to keep yourself safe, contact emergency or crisis support immediately."
severe,"panic, sadness",panic,"Stay with another person if possible and keep all focus on safety, breathing, and urgent support."
severe,"panic, anger",panic,"Move away from conflict and risk. Prioritize safety and immediate human support."
severe,"panic, guilt",panic,"Do not trust harsh thoughts while in severe distress. Contact someone now and tell them exactly how bad it feels."
severe,"panic, anxiety",panic,"Use emergency-level self-care: safe place, slow breathing, live support, and no major decisions."
severe,"despair, hopelessness",despair,"Please seek immediate help. Contact a trusted person, crisis line, therapist, or emergency service right now."
severe,"despair, sadness",despair,"Do not stay alone with this level of pain. Reach out now and stay connected until support is with you."
severe,"despair, fear",despair,"Focus only on safety and contact someone immediately who can stay with you or help you get urgent care."
severe,"despair, overwhelm",despair,"Set aside all other tasks and make getting support your only priority right now."
severe,"despair, helplessness",despair,"Tell someone directly that you do not feel able to cope alone and need immediate support."
severe,"despair, confusion",despair,"If your thoughts feel dark, chaotic, or unsafe, contact urgent professional help right away."
severe,"despair, guilt",despair,"Severe guilt and despair need human support now, not isolation. Call or message someone immediately."
severe,"despair, panic",despair,"If you feel at risk, go to emergency care or contact crisis support now."
severe,"despair, loneliness",despair,"Do not be alone right now. Go to a trusted person, call someone, or seek immediate local support."
severe,"despair, fatigue",despair,"Even if you feel too drained to explain, send a simple message asking for urgent help now."
severe,"hopelessness, despair",hopelessness,"This level of hopelessness needs immediate support. Contact someone now and tell them you need help staying safe."
severe,"hopelessness, sadness",hopelessness,"Please do not isolate. Reach out immediately and remain in contact with another person."
severe,"hopelessness, panic",hopelessness,"If thoughts feel dangerous or unbearable, call emergency or crisis support right away."
severe,"hopelessness, fear",hopelessness,"Go to a safer place, be near people if possible, and ask for urgent support now."
severe,"hopelessness, guilt",hopelessness,"Do not handle crushing self-blame alone. Contact a trusted person or professional immediately."
severe,"hopelessness, overwhelm",hopelessness,"You do not need to solve anything right now except safety and getting support."
severe,"hopelessness, confusion",hopelessness,"Let another person help you think and stay safe; do not remain alone with severe distress."
severe,"hopelessness, helplessness",hopelessness,"Say clearly: I need help right now. Then contact someone who can respond immediately."
severe,"hopelessness, loneliness",hopelessness,"Connection is urgent. Call, text, or go to someone safe right now."
severe,"hopelessness, fatigue",hopelessness,"If you cannot explain much, send a short urgent message like: I need help and should not be alone."
severe,"overwhelm, panic",overwhelm,"This has moved beyond normal stress. Stop everything and get immediate support from a person or service."
severe,"overwhelm, fear",overwhelm,"Reduce risk now: safe place, less stimulation, and direct contact with someone supportive."
severe,"overwhelm, confusion",overwhelm,"Do not push through severe overload alone. Ask someone to stay with you and help with the next steps."
severe,"overwhelm, despair",overwhelm,"When stress feels unbearable, seek urgent emotional support rather than trying to endure it silently."
severe,"overwhelm, anger",overwhelm,"If you feel close to losing control, leave the situation and get immediate help calming down safely."
severe,"overwhelm, sadness",overwhelm,"Basic care and human support come first now; nothing else is more important."
severe,"overwhelm, helplessness",overwhelm,"Tell someone you are overwhelmed to a severe level and need them with you or on the phone."
severe,"overwhelm, anxiety",overwhelm,"Keep your next steps extremely simple: safe place, slow breathing, contact support now."
severe,"overwhelm, guilt",overwhelm,"Severe distress is not the time for self-judgment. Reach out for help immediately."
severe,"overwhelm, fatigue",overwhelm,"Your system may be shutting down under pressure. Stop, rest in safety, and get support now."
severe,"fear, panic",fear,"If fear is extreme, get to safety immediately and contact a trusted person or emergency support."
severe,"fear, despair",fear,"Do not stay alone while fear feels unbearable. Reach out now and remain connected."
severe,"fear, confusion",fear,"Severe fear can narrow thinking. Let someone help you stay safe and think clearly."
severe,"fear, helplessness",fear,"Say directly that you are not okay and need immediate support."
severe,"fear, sadness",fear,"Seek comfort from a real person right now rather than staying in silence with the fear."
severe,"fear, anger",fear,"Distance yourself from any risky trigger and prioritize a calm, safe environment immediately."
severe,"fear, guilt",fear,"Do not let fear and self-blame escalate together. Contact support now."
severe,"fear, overwhelm",fear,"Slow everything down and focus only on safety, grounding, and getting help."
severe,"fear, hopelessness",fear,"If fear is turning into hopelessness, contact crisis or emergency support immediately."
severe,"fear, fatigue",fear,"Even if exhausted, do not handle severe fear alone. Get support from another person now."
severe,"anger, panic",anger,"If your anger feels dangerous or out of control, leave the situation and get immediate support."
severe,"anger, overwhelm",anger,"Prioritize safety for yourself and others by stepping away and contacting someone right now."
severe,"anger, fear",anger,"Severe anger can become unsafe quickly. Put distance between you and the trigger immediately."
severe,"anger, despair",anger,"If anger is mixed with despair, do not remain alone. Reach out for urgent support now."
severe,"anger, confusion",anger,"Do not argue or act further while severely activated. Safety and separation come first."
severe,"anger, guilt",anger,"If you fear you may react badly, contact someone who can help you calm down right now."
severe,"anger, sadness",anger,"There may be deep pain underneath this. Get support and do not face it alone."
severe,"anger, anxiety",anger,"Use emergency-level de-escalation: leave, breathe, cool down, and contact support."
severe,"anger, helplessness",anger,"Tell someone you are overwhelmed and need help before the situation gets worse."
severe,"anger, panic",anger,"Do not keep engaging with the trigger. Move to safety and seek immediate human support."
severe,"guilt, despair",guilt,"Severe guilt can become dangerous when faced alone. Contact a trusted person or crisis support right now."
severe,"guilt, hopelessness",guilt,"Do not believe severe self-blame in isolation. Reach out immediately and let someone stay with you."
severe,"guilt, panic",guilt,"Pause all self-judgment and focus on safety, grounding, and urgent support."
severe,"guilt, sadness",guilt,"You need compassion and human contact right now, not punishment. Contact someone immediately."
severe,"guilt, fear",guilt,"If guilt feels crushing, say so directly to a trusted person and ask for immediate support."
severe,"guilt, overwhelm",guilt,"Do not keep spiraling alone. Move toward support, safety, and simple stabilization."
severe,"guilt, confusion",guilt,"Severe distress can distort responsibility. Let another person help you reality-check the situation."
