symbol_name,default_stress,default_recommendation,related_recommendations
jumping,low,"Take calculated risks, not reckless ones.","prepare before acting|trust your ability|check the landing|be bold carefully|move when ready|avoid impulsive leaps|use momentum wisely|focus on opportunity|build confidence|keep balance"
running,low,"Notice what is pushing you and slow down if needed.","identify pressure|stop avoiding key issues|rest your body|simplify your schedule|breathe deeply|choose one priority|protect your energy|act from clarity not panic|slow your pace|face what matters"
path,low,"Stay on your course and trust the process.","keep direction simple|avoid distraction|walk steadily|honor progress|reassess if needed|focus on consistency|be patient|continue learning|watch where you step|trust the journey"
dancing,low,"Allow more joy and emotional expression.","celebrate small things|move your body|enjoy connection|release tension|express yourself|share happiness|welcome harmony|be playful|let emotions flow safely|stay present"
crying,low,"Let emotions move through without judgment.","allow release|rest afterwards|seek comfort|talk to someone safe|journal feelings|do not suppress everything|create quiet space|practice self-kindness|honor grief|recover gently"
fighting,low,"Address conflict directly but calmly.","identify the real issue|avoid escalation|protect your needs|set clear boundaries|choose honest communication|do not fight every battle|release anger safely|focus on resolution|stay grounded|seek peace when possible"
winning,low,"Accept success and keep building wisely.","celebrate modestly|build on momentum|stay humble|thank supporters|keep disciplined|prepare the next step|protect your gains|trust your ability|remain balanced|continue growing"
losing_valuables,low,"Be more careful with resources and attention.","double-check important things|organize belongings|review spending|slow down|avoid carelessness|protect what matters|notice stress-based mistakes|simplify tasks|stay present|learn from small losses"
traveling,low,"Stay open to change while planning carefully.","prepare well|remain flexible|welcome learning|protect your energy|travel light emotionally|expect transitions|keep documents and plans in order|trust discovery|rest during change|stay observant"
boat,low,"Navigate feelings gently and keep balance.","stay steady|avoid emotional extremes|prepare for change|trust gradual movement|protect stability|watch conditions|travel with support if needed|keep direction in mind|rest when waters are rough|adapt calmly"
desert,low,"Conserve energy and endure patiently.","simplify needs|protect your strength|be patient|look for small reliefs|avoid waste|stay disciplined|keep hope alive|move slowly if necessary|seek support|trust endurance"
ocean,low,"Respect deep emotions and avoid overwhelm.","take emotional space seriously|rest deeply|do not force clarity too fast|allow reflection|seek peace|set boundaries|stay grounded|use calming routines|avoid emotional excess|trust depth with care"
city,low,"Balance opportunity with overstimulation.","focus on priorities|avoid overcommitment|stay socially aware|protect your time|use opportunities wisely|simplify your plans|rest from noise|keep boundaries|network with care|stay grounded"
village,low,"Lean on community and simple support.","value close relationships|accept help|keep life simple|honor roots|build trust locally|focus on belonging|support others|slow down|protect peace|appreciate stability"
farm,low,"Keep working steadily toward practical abundance.","stick to routines|care for essentials|be patient with growth|value hard work|nourish family|prepare for harvest later|maintain consistency|stay grounded|focus on basics|trust effort"
garden,low,"Nurture what is growing in your life.","care for relationships|tend to health|remove neglect|protect beauty|build daily habits|encourage growth|make time for peace|notice what needs pruning|support creativity|enjoy progress"
books,low,"Keep learning and seek deeper understanding.","read more|study patiently|note important ideas|reflect on lessons|ask questions|use wisdom practically|avoid mental clutter|focus on growth|stay curious|prepare well"
letters,low,"Pay attention to communication and unspoken matters.","reply thoughtfully|check messages carefully|say what needs saying|listen closely|avoid assumptions|prepare for news|clarify intentions|keep records if needed|address pending communication|stay honest"
jewelry,low,"Value what is precious, but do not cling too tightly.","protect valuables|honor self-worth|avoid vanity|use resources wisely|appreciate beauty|share carefully|stay grounded|watch attachment|keep perspective|treat yourself with respect"
silver,low,"Trust subtle intuition and proceed carefully.","listen inwardly|notice small opportunities|avoid shiny illusions|stay reflective|keep modest expectations|protect judgment|move calmly|watch for deception|value quiet gains|stay clear-headed"
red,low,"Channel strong feelings into constructive action.","use energy wisely|pause before reacting|act boldly but calmly|protect your boundaries|avoid impulsive conflict|focus on vitality|notice passion clearly|balance urgency|stay self-aware|move with purpose"
blue,low,"Choose calm, trust, and emotional steadiness.","breathe slowly|rest the mind|speak calmly|focus on trust|seek peace|reduce overstimulation|support emotional balance|reflect quietly|let things settle|stay gentle"
green,low,"Support healing and growth without comparison.","care for recovery|notice progress|avoid envy|focus on health|nurture long-term goals|spend time in nature|be patient with growth|protect renewal|stay balanced|choose what helps you flourish"
yellow,low,"Stay positive, but remain alert and practical.","notice joy|watch warning signs|keep attention sharp|avoid carelessness|support optimism|stay mentally clear|focus on essentials|use caution kindly|balance brightness with realism|remain aware"
black,low,"Do not fear uncertainty; move carefully through it.","pause before judging|accept the unknown|seek clarity gradually|protect yourself|avoid unnecessary risks|rest if uneasy|observe more than react|trust intuition carefully|name hidden fears|proceed slowly"
white,low,"Welcome clarity, peace, and a fresh start.","clear clutter|simplify your mind|choose honesty|start again gently|protect peace|rest well|seek purity of intention|release past confusion|focus on healing|stay calm"
pregnancy,low,"Be patient with what is developing in your life.","protect new growth|avoid rushing outcomes|rest more|prepare carefully|nurture ideas|accept change|seek support|track progress gently|be hopeful|stay steady"
family,low,"Strengthen support while handling tensions with care.","check in with loved ones|offer patience|protect boundaries|honor obligations wisely|avoid reactive conflict|support connection|listen more|focus on unity|heal old patterns|stay compassionate"
strangers,low,"Stay open to help, but keep good judgment.","receive support carefully|notice new opportunities|trust slowly|be polite but observant|stay adaptable|ask good questions|protect boundaries|welcome learning|remain curious|avoid naivety"
monsters,low,"Face fear gradually instead of avoiding it.","name the fear|break big problems into parts|seek support|rest after stress|reduce overwhelm|build courage slowly|avoid panic decisions|use grounding skills|focus on what is real|remember your strengths"
angels,low,"Take comfort and follow gentle guidance.","trust support|slow down|listen inwardly|choose kindness|protect hope|act with sincerity|seek peace|accept reassurance|stay open to help|move with faith"
