dream_id,dream_text,stress_label,emotion_labels,theme_labels,symbol_labels
13,I sat quietly in a quiet harbour on a calm morning. I found a warm cup of tea on a table and held it close. It felt like a small miracle.,low,"longing,inspiration,serenity,awe,curiosity","seasonal_comfort,family","broken_glass,heart,water,wave"
14,I was cooking in a flower-filled hillside. There was a basket of ripe fruit. I felt a soft joy I could not name. I felt the tension release completely.,low,"satisfaction,relief,peace","family,reconciliation,guidance,celebration","rabbit,tickets,parrot,earthquake"
15,The dream began in a sunlit garden full of wildflowers. I was listening to music in and came across a golden key on the ground. I felt hopeful in a way I had almost forgotten.,low,"belonging,tenderness,confidence,comfort,care","forgiveness,reflection,community,renewal",water
16,I found a door that opened onto nothing as I was screaming with no sound coming out in a flooded street rising fast. The weight of it followed me into the morning. I jolted awake in a cold sweat.,high,"helplessness,obsession,regret","collective_threat,academic_pressure,modern_stress,identity","peacock,crow,donkey,rope"
17,I was panicking in a hostile crowd pressing from all sides and noticed a darkness spreading over everything. The weight of it followed me into the morning. I woke with a heavy dread.,high,"urgency,self_consciousness,disorientation,obsession,stress","blocked_expression,emotional_overflow,modern_stress,impostor_feeling","drawer,sun,passport"
18,I was cycling through a peaceful mountain clearing. I found a blooming white flower and picked it up gently. I felt a soft joy I could not name.,low,"affection,serenity,freedom,ambition","hidden_refuge,community,new_beginning,release","coat,hands"
19,I was playing with children in a warm porch at sunset and noticed a basket of ripe fruit. I felt understood without saying a word. I felt the tension release completely.,low,"calm,curiosity,gratitude,satisfaction,serenity","protection,searching_for_self","whispers,tunnel"
20,I was reuniting with friends in a still mountain path at sunrise and noticed a sleeping cat in the sunlight. I breathed slowly and felt the tension leave my body. I felt a deep sense of peace.,low,"warmth,serenity,care,joy","protection,growth,guidance","road,locker,hallway"
21,The dream began in a rooftop with no railing in high wind. I was losing control in and came across a charging animal with nowhere to go. The panic lingered into the morning.,high,"regret,shock,delight","performance_stress,academic_pressure,upheaval,urgency","night,house,chest_box,face"
22,I was swimming slowly through a warm porch at sunset and noticed a colorful butterfly landing on my hand. I woke still carrying that warmth.,low,"delight,calm,freedom,affection,satisfaction","seasonal_comfort,exposure",wedding
23,I was searching for something in an old school building after hours. There was a locked box with no key. I woke with more questions than answers. I woke with a cautious hope.,moderate,"self_awareness,awe,restlessness","domestic_stress,deception,liminal_space","compass,heart,sleeping,desert"
24,I sat quietly in a candlelit library. There was a white dove perched on a fence. I felt a quiet warmth spread through me. I sensed a new beginning approaching.,low,"relief,awe,hesitation","community,connection","letters,wave,blood"
25,"Strangely, i was arguing with someone I loved and we were both crying but neither of us wanted to stop.",moderate,"alertness,melancholy,curiosity,nostalgia,hesitation","small_disruption,uncertainty","donkey,whale"
26,"Deep in the dream, i was drowning but the water was warm and I did not want to reach the surface.",moderate,"nostalgia,awe,alertness","transition,hidden_path,coexistence,identity","train,snake,airport"
27,I was dancing softly in a welcoming village square. There was a candle already lit in the window. A sense of belonging washed over me. I felt the warmth linger into morning.,low,"gentleness,serenity,confidence,curiosity,freedom","rest,forgiveness,transformation,impostor_feeling","reading,shrine"
28,I was swimming slowly through a candlelit library. I found a candle already lit in the window and picked it up gently. I smiled without meaning to.,low,"inspiration,focus,joy,hope","grounding,rest,release","palace,shadow"
29,"Unexpectedly, my house was flooding but the water was clear and the fish inside it were beautiful.",moderate,"awe,amusement,reflection,unease","power,unresolved_conflict,strategy,letting_go",hands
30,I was painting in a small chapel with open doors. I found an old carved wooden door standing open and held it close. A sense of belonging washed over me.,low,"focus,reverence,contentment","protection,danger","reflection,evening,park"
31,I was gardening in a serene temple garden and noticed a beautiful rainbow overhead. I breathed slowly and felt the tension leave my body. I felt the warmth linger into morning.,low,"freedom,curiosity,gentleness,tenderness","small_blessing,abundance","dress,candle"
32,The dream began in a collapsing bridge over a gorge. I was running desperately through and came across a clock counting down to zero. The panic lingered into the morning. The shame burned even after waking.,high,"alertness,frustration,grief","collective_threat,work_stress",soup
33,"I was suffocating in a threatening alley with no way out. I found a phone that would not dial and watched it helplessly. I lay awake for an hour, unable to shake the dread.",high,"powerlessness,shock,pressure","abandonment,confinement,social_judgment","bag,horse,legs"
34,I found a compass spinning in circles as I was trying to remember the way through a deserted park at twilight. I woke in quiet contemplation. I woke feeling reflective.,moderate,"awe,reflection,alertness,restlessness","transition,inner_self","fire,dock,lizard"
35,I was watching from a distance in a half-lit corridor in an old building and noticed a half-written letter on a desk. I felt the weight of something I had been avoiding. I felt the need to reflect.,moderate,"curiosity,nostalgia,alertness","power,ambiguity,awakening,hidden_message","ladder,gold"
36,I was desperately searching in a rooftop with no railing in high wind. There was a shadow that moved on its own. The fear stayed with me long after I opened my eyes. I jolted awake in a cold sweat.,high,"terror,claustrophobia,anguish","privacy,pressure,exposure,technology_failure","star,angels,dock"
37,"Strangely, i was being watched by a wolf but it sat down and looked away when I met its eyes.",moderate,"ambition,amusement,alertness,self_awareness","time,work_boundary","smoke,gate,phone,window"
38,I found a forgotten notebook in my handwriting as I found myself lost in a half-finished bridge over dark water. I woke in quiet contemplation.,moderate,"suspicion,longing,fatigue","inner_self,secrets","cave,path,running"
39,I was cycling through a peaceful mountain clearing. There was a warm cup of tea on a table. I felt held by something larger than myself. I sensed a new beginning approaching.,low,"serenity,calm,hurt","hidden_refuge,protection,emotional_balance","clothes,feather,ocean"
40,I sat quietly in a candlelit library. There was a welcoming fire in the hearth. The feeling lingered long after I opened my eyes. I woke feeling genuinely hopeful.,low,"relief,delight,joy","reflection,movement,healing,privacy","bell,bike"
41,The dream began in a pitch-black tunnel with no end. I was struggling to escape and came across a key that kept changing shape. I could not look at the clock for a long time. I sat up in bed unable to breathe.,high,"dread,fear,pressure,anguish,exposure","instability,social_judgment,vulnerability,loss_of_control",winning
42,I was listening to music in a peaceful mountain clearing. There was a stack of beloved books. I felt a quiet warmth spread through me.,low,"freedom,serenity,relief,helplessness","community,connection,guidance,security",sunset
43,I was questioning my choices in a winding mountain road in fog. There was a curious animal watching quietly. I felt cautiously hopeful but not yet certain. I felt the need to reflect.,moderate,"restlessness,disconnection,reflection,regret,longing","small_disruption,power","snow,water"
44,I found myself lost in a maze-like office with no exits. I found a forgotten notebook in my handwriting and could not decide what it meant. Part of me wanted to stay; part of me needed to leave.,moderate,"suspicion,longing,wistfulness,confusion,disconnection","uncertainty,ambiguity,change,discovery","bridge,shark,temple"
45,I found a rope fraying as I held it as I was drowning in a collapsing staircase in a tall tower. The shame burned even in daylight. I woke feeling trapped even after opening my eyes.,high,"exposure,anguish,guilt,anger","blocked_expression,modern_stress,public_visibility","turtle,clothes,watch"
46,I found a key that kept changing shape as I was screaming with no sound coming out in a city block shaking in an earthquake. The helplessness stayed with me all day. I jolted awake in a cold sweat.,high,"shock,powerlessness,claustrophobia,fear","hidden_threat,blocked_expression,persecution","thunder,bell,road"
47,I was being overwhelmed in a city block shaking in an earthquake. I found a phone that would not dial and watched it helplessly. The shame burned even in daylight.,high,"exposure,self_consciousness,stress,claustrophobia,confidence","impostor_feeling,performance_stress,avoidance","losing_valuables,bread,legs,crying"
48,I was failing to protect someone in a threatening alley with no way out. I found a rope fraying as I held it and could not escape it. I felt exposed even after the dream ended. I sat up in bed unable to breathe.,high,"obsession,terror,stress,guilt,grief","collective_threat,pressure,chaos","screen,store,broken_glass,key"
49,I was failing an exam in a hostile crowd pressing from all sides and noticed a floor dissolving beneath my feet. I could not look at the clock for a long time. I woke with a heavy dread.,high,"overwhelm,panic,instability,anguish,powerlessness","upheaval,danger,technology_stress",garden
50,I dreamed I was very sick but surrounded by people who loved me.,moderate,"amusement,curiosity,confusion,anticipation","work_boundary,past,deception,alienation","seed,crow"
51,I was packing bags in an unfamiliar city street at dusk. There was a mirror showing a different room. I woke with more questions than answers. I sensed something unfinished.,moderate,"ambition,determination,wistfulness","unresolved_conflict,liminal_space,power","sun,wind,shelf,frog"
52,I was drowning in a locked exam hall where I knew nothing and noticed a staircase crumbling underfoot. The alarm I felt did not fade quickly.,high,"anger,powerlessness,urgency,disorientation","impostor_feeling,hidden_threat","night,reflection,flower,elevator"
53,I was falling but the fall was slow and the view was extraordinary.,moderate,"wariness,reflection,awe,wistfulness","self_expression,hidden_path","library,notebook,elevator"
54,I found myself lost in a half-finished bridge over dark water. I found a strange map with no labels and left it where it was. Part of me wanted to stay; part of me needed to leave. The feeling lingered unresolved.,moderate,"disconnection,confusion,ambivalence,protectiveness","searching_for_self,warning,pause","cat,strangers"
55,I found a bridge falling away behind me as I was failing to protect someone in a collapsing bridge over a gorge. I woke feeling utterly drained.,high,"rage,alertness,urgency","instability,collective_threat","crying,oranges,hiding"
56,I was panicking in a crumbling building that shook underfoot. I found a clock counting down to zero and could not escape it. The shame burned even in daylight. I woke gasping.,high,"humiliation,fear,overwhelm","blocked_expression,modern_stress",chest_box
57,"Deep in the dream, i dreamed I had failed at everything but someone handed me a second chance.",moderate,"reflection,sadness,ambition","liminal_space,warning,alienation,time","bamboo,tiger,dusk"
58,"I was suffocating in a raging flood sweeping through the streets. There was a locked door with no handle. I sat up gasping, unable to remember how to breathe. I jolted awake in a cold sweat.",high,"anger,alertness,instability,regret,humiliation","abandonment,upheaval,chaos,danger",owl
59,The dream began in a collapsing staircase in a tall tower. I was drowning in and came across a missing child I could not find. I could not look at the clock for a long time. I woke with a racing heart.,high,"terror,alertness,stress","social_judgment,work_boundary","drawer,fish,jewelry"
60,"In that moment, i was falling but the fall was slow and the view was extraordinary.",moderate,"amusement,ambition,surprise,wistfulness,nostalgia","past,transition,inner_self","teeth,books"
61,I found a warm cup of tea on a table as I was reuniting with friends in a quiet lake at dawn. I felt a soft joy I could not name. I carried that warmth into the day.,low,"reverence,freedom,acceptance,comfort,longing","growth,small_kindness","bench,smiling,deer"
62,I was writing in a bright dining room with family and noticed a child's drawing on the wall. I felt held by something larger than myself. I felt the tension release completely.,low,"warmth,satisfaction,purpose,obsession","new_beginning,spirituality,domestic_healing,technology_failure","dancing,mosque"
63,I was drowning in a stormy ocean with no shore in sight. There was a rope fraying as I held it. I woke in a cold sweat. I woke feeling utterly exhausted.,high,"shame,anxiety,overwhelm,powerlessness","pressure,modern_stress,danger,uncertainty","whispers,angels,fire,soldiers"
64,I was trying to remember the way through a half-empty train moving slowly. There was a locked box with no key. The feeling was hard to name — somewhere between hope and worry.,moderate,"disconnection,protectiveness,unease,sadness","power,letting_go,pause","locker,bread"
65,I was struggling to escape a burning building with blocked exits. There was a venomous snake blocking the path. I felt exposed even after the dream ended. I jolted awake in a cold sweat.,high,"humiliation,shame,hurt,desperation","emotional_overflow,work_stress","notebook,rice"
66,"I found a cracked mirror on the wall as I was hesitating at the edge of a strange hotel with endless hallways. Something felt unfinished, though I could not say what. I woke feeling reflective.",moderate,"suspicion,surprise,restlessness,ambition,apprehension","transition,ambiguity","glass,reading,store,bee"
67,I was cooking in a quiet harbour on a calm morning. I found a smiling child reaching up to me and smiled at it. I felt a quiet warmth spread through me.,low,"hope,care,nostalgia,tenderness,comfort","learning,celebration,new_beginning,domestic_healing","dress,kitchen,ship"
68,I was discovering a hidden part of an unfamiliar city street at dusk and noticed a strange map with no labels. I felt cautiously hopeful but not yet certain. I woke with a cautious hope.,moderate,"wistfulness,hesitation,ambition","self_expression,secrets,hidden_path","family,praying"
69,I was packing bags in an overgrown garden behind a locked gate. I found an old key taped under a desk and studied it carefully. I woke in quiet contemplation. I sensed something unfinished.,moderate,"protectiveness,amusement,alertness","transition,ambiguity","head,rest,tower,wedding"
70,"I was drowning in a collapsing staircase in a tall tower. I found a shattered window with sharp edges and could not escape it. I woke with a deep, formless dread.",high,"panic,regret,rage,alertness","pressure,academic_pressure,modern_stress,privacy","clock,office,train"
71,I was attempting to leave a train platform where the train never came. I found a flickering candle about to go out and left it where it was. I felt the weight of something I had been avoiding.,moderate,"sadness,nostalgia,curiosity,yearning","uncertainty,discovery,liminal_space","kitchen,jar,river,losing_valuables"
72,I found a shadowy figure in the corner as I was questioning my choices in an empty theatre with the lights still on. I was not sure whether to feel relieved or uneasy. I woke unsure what it meant.,moderate,"ambivalence,amusement,wariness,guilt","deception,memory","sun,bee,bench"
73,I was being judged in front of everyone in a collapsing staircase in a tall tower and noticed a bridge falling away behind me. I felt exposed even after the dream ended. I woke with a heavy dread.,high,"alertness,regret,exposure","modern_stress,entrapment,public_visibility,danger","soup,feather"
74,I was reuniting with friends in a rooftop garden above the city and noticed a blooming white flower. Something about it made me feel completely at home.,low,"inspiration,awe,contentment,relief,focus","learning,community","hallway,kitchen"
75,The dream began in a deserted park at twilight. I was investigating and came across a broken clock on the wall. I felt a kind of longing I could not place. I sensed a change was coming.,moderate,"apprehension,determination,hesitation,urgency","domestic_stress,suspension,ambiguity",rope
76,"I was failing to protect someone in a city block shaking in an earthquake. I found a blank exam paper I could not read and watched it helplessly. I sat up gasping, unable to remember how to breathe. I woke feeling trapped even after opening my eyes.",high,"rage,anger,dread,regret","vulnerability,community",wave
77,The dream began in a crossroads in the middle of nowhere. I was questioning my choices in and came across a shadowy figure in the corner. I felt the past pressing gently forward. I sensed something unfinished.,moderate,"fatigue,wariness,unease,melancholy,curiosity","hidden_truth,past,freedom","jewelry,peacock,eyes"
78,I was wandering through a misty forest at twilight. I found a mirror showing a different room and studied it carefully. There was a quiet ambivalence I could not shake.,moderate,"ambition,yearning,wistfulness,self_awareness,amusement","awakening,suspension,social_uncertainty",running
79,The dream began in a rooftop with no railing in high wind. I was being judged in front of everyone in and came across a phone that would not dial. The weight of it followed me into the morning.,high,"self_consciousness,overwhelm,guilt","social_judgment,urgency,absurdity,survival","dress,writing,face,hiding"
80,I was failing to protect someone in a falling aircraft losing altitude fast. I found a phone that would not dial and tried to push it away. I woke feeling like something had been taken from me. I could not shake the feeling of danger.,high,"exposure,hurt,urgency,helplessness,anger","abandonment,abundance",ant
81,The dream began in a narrow alley between tall walls. I was looking for an exit from and came across a sealed jar I could not open. The image stayed with me all morning.,moderate,"melancholy,protectiveness,determination,confusion","ambiguity,family","store,candle,black,teeth"
82,"The dream began in a flooded street rising fast. I was screaming with no sound coming out in and came across a shattered window with sharp edges. I woke shaking, the image still vivid.",high,"stress,exposure,anger,alertness,regret","exposure,emotional_balance","car,clock,river"
83,I found a train ticket with no destination as I was following a stranger through a crowded market where I knew no one. I woke unsure whether it had been a good dream or a bad one. I could not decide if it was good or bad.,moderate,"curiosity,suspicion,restlessness,awe","secrets,identity","park,door,bench"
84,I was resting in a childhood backyard in summer. I found a friendly dog wagging its tail and smiled at it. I felt deeply grateful without knowing why.,low,"focus,gratitude,serenity,warmth,instability","renewal,movement,small_kindness","wave,bell,teaching"
85,The dream began in a cluttered attic full of old things. I was investigating and came across a dusty old book with no title. I woke unsure whether it had been a good dream or a bad one.,moderate,"suspicion,restlessness,disconnection,ambivalence","transition,work_boundary,small_disruption,collapse","wave,angels"
86,I was cooking in a sunlit garden full of wildflowers. There was a blooming white flower. I felt hopeful in a way I had almost forgotten.,low,"focus,affection,gratitude,wonder","emotional_balance,small_kindness,abundance,rest","losing_valuables,cave"
87,"I found a faded photograph face-down as I was circling the perimeter of an unfamiliar city street at dusk. Something felt unfinished, though I could not say what.",moderate,"unease,confusion,melancholy,regret","transition,change","coat,map"
88,The dream began in a hostile crowd pressing from all sides. I was suffocating in and came across a blank exam paper I could not read. I woke in a cold sweat.,high,"dread,frustration,desperation,urgency","work_stress,hidden_threat",room
89,The dream began in a raging flood sweeping through the streets. I was being overwhelmed in and came across a flood rising through the floor. I woke feeling utterly drained.,high,"powerlessness,self_consciousness,obsession","chaos,guidance","flying,ant"
90,The dream began in a basement full of sealed boxes. I was revisiting and came across a tangled rope on the floor. There was a quiet ambivalence I could not shake.,moderate,"curiosity,awe,apprehension,fear","hidden_truth,unresolved_conflict,suspension,discovery","map,tower,screen"
91,I was swimming slowly through a flower-filled hillside and noticed a glowing lantern hanging above. I breathed slowly and felt the tension leave my body. I sensed a new beginning approaching.,low,"affection,contentment,inspiration","protection,companionship","turtle,summer,heart"
92,I was sharing a meal in a warm kitchen smelling of bread. There was a child's drawing on the wall. I felt genuinely content. I woke feeling deeply restored.,low,"care,comfort,joy","restoration,flow,guidance","bus_stop,courtyard,box"
93,The dream began in an empty theatre with the lights still on. I found myself lost in and came across a cracked mirror on the wall. I woke feeling somewhere between relief and regret.,moderate,"alertness,hesitation,gratitude","power,discovery,entrapment","subway,fox,voice,turtle"
94,I was being chased through a room filling with smoke. I found a darkness spreading over everything and watched it helplessly. I could not look at the clock for a long time. I woke feeling utterly exhausted.,high,"terror,panic,overwhelm,claustrophobia","survival,modern_stress","running,shark,heart"
95,I was resting in a welcoming village square. I found a friendly dog wagging its tail and smiled at it. I felt hopeful in a way I had almost forgotten.,low,"belonging,purpose,relief,focus","achievement,domestic_healing,celebration,seasonal_comfort","stairs,document"
96,I was arguing with someone I loved and we were both crying but neither of us wanted to stop.,moderate,"fatigue,nostalgia,protectiveness","alienation,warning",searching
97,I was circling the perimeter of a waiting room with no clock. I found a silent telephone ringing and studied it carefully. The feeling was hard to name — somewhere between hope and worry. I woke with a cautious hope.,moderate,"apprehension,melancholy,inspiration","hidden_truth,pause,warning","hiding,donkey"
98,I found a charging animal with nowhere to go as I was watching helplessly as everything collapsed in a city block shaking in an earthquake. The weight of it followed me into the morning. I woke with a deep sense of dread.,high,"frustration,panic,hurt,fear","exposure,avoidance,privacy,vulnerability","chest,porch,hands"
99,I was trying to navigate a strange hotel with endless hallways. I found a sealed envelope addressed to me and left it where it was. I felt both drawn in and held back. I sensed a change was coming.,moderate,"fatigue,wariness,wistfulness,alertness,confusion","pause,small_disruption,work_boundary,alienation","earthquake,eyes,clock"
100,I was unable to move in a pitch-black tunnel with no end and noticed a venomous snake blocking the path. I woke feeling utterly drained. I woke in a state of alarm.,high,"anxiety,urgency,rage,desperation","technology_stress,emotional_overflow","coat,white,window,work"
101,"I was trying to call for help from a dark forest with no path. I found a car with no brakes on a steep hill and watched it helplessly. Even awake, I felt trapped.",high,"desperation,panic,frustration","upheaval,small_kindness",lion
102,"I was drowning in a room filling with smoke. I found a flood rising through the floor and tried to push it away. Even awake, I felt trapped.",high,"instability,anger,claustrophobia,rage","modern_stress,protection","whispers,passport,legs,fish"
103,I found a sealed envelope addressed to me as I was investigating a rooftop at dusk with no way down. Something in the dream asked a question I had not answered. I woke unsure what it meant.,moderate,"curiosity,amusement,alertness,longing","awakening,change,liminal_space,uncertainty",apples
104,The dream began in a strange hotel with endless hallways. I was trying to remember the way through and came across a distant light I could not reach. I woke unsure whether it had been a good dream or a bad one.,moderate,"apprehension,alertness,anticipation","uncertainty,ambiguity","winning,glass,breath"
105,I was unable to move in a pitch-black tunnel with no end. I found a flood rising through the floor and could not escape it. The alarm I felt did not fade quickly. I woke with my heart pounding.,high,"dread,panic,anxiety,pressure,terror","hidden_threat,instability,entrapment,absurdity",hair
106,I found a sealed envelope addressed to me as I was following a stranger through a deserted park at twilight. I woke in quiet contemplation.,moderate,"hesitation,wariness,restlessness","mystery,suspension,discovery,nostalgia_for_past","reflection,wolf"
107,The dream began in a hostile crowd pressing from all sides. I was desperately searching in and came across a locked door with no handle. I could not fall back asleep.,high,"rage,grief,powerlessness","survival,abandonment,modern_stress,persecution","crane,chest"
108,"I was being chased through a collapsing staircase in a tall tower and noticed a hostile stranger blocking the exit. I woke with a deep, formless dread. I could not shake the feeling of danger.",high,"regret,fear,humiliation","exposure,emotional_overflow,impostor_feeling,urgency","white,eagle,fire,market"
109,I was packing bags in a waiting room with no clock. I found an unfamiliar face watching me and could not decide what it meant. I was not sure whether to feel relieved or uneasy.,moderate,"unease,surprise,melancholy","suspension,warning","hallway,river"
110,The dream began in a collapsing bridge over a gorge. I was trying to call for help from and came across a screaming alarm I could not silence. I woke feeling utterly drained.,high,"exposure,grief,stress,powerlessness","exposure,danger,pressure,performance_stress","compass,bike,bag,airport"
111,I was fighting to breathe in a rooftop with no railing in high wind and noticed a key that kept changing shape. The panic lingered into the morning. I lay awake for hours afterward.,high,"regret,anguish,self_consciousness,hurt,contentment","emotional_overflow,academic_pressure,work_stress",work
112,The dream began in a breezy open field. I was reuniting with friends in and came across a golden key on the ground. I felt a quiet warmth spread through me. I woke feeling deeply restored.,low,"comfort,tenderness,relief","protection,renewal,identity","ice,computer,thunder,bee"
113,The dream began in a hostile crowd pressing from all sides. I was falling from and came across a blank exam paper I could not read. The shame burned even in daylight.,high,"helplessness,guilt,shock,terror,urgency","time_pressure,work_boundary","ocean,owl,village,gold"
114,"The dream began in a strange hotel with endless hallways. I was questioning my choices in and came across a compass spinning in circles. Something felt unfinished, though I could not say what. I woke in quiet contemplation.",moderate,"alertness,fatigue,melancholy","hidden_desire,past","elephant,reading,cat,green"
115,The dream began in a still mountain path at sunrise. I was walking through and came across a small herb garden in full bloom. I felt understood without saying a word. I sensed a new beginning approaching.,low,"peace,satisfaction,curiosity","hidden_refuge,grounding,urban_healing","train,arms,butterfly,suitcase"
116,I wandered gently through a rooftop garden above the city. There was a child's drawing on the wall. I carried that peace into the morning. I felt the tension release completely.,low,"longing,serenity,care","nourishment,restoration","evening,dock,oranges,office"
117,"For a moment, i was being tested on something I had never studied but the answers came easily.",moderate,"longing,alertness,disconnection","deception,letting_go,inner_self,mystery","music,white,back"
118,The dream began in a soft meadow under a pale sky. I was reuniting with friends in and came across a white dove perched on a fence. A gentle peace settled over me. I carried that warmth into the day.,low,"joy,wonder,gratitude,gentleness,awe","nourishment,restoration,community","roof,wedding"
119,I found a warm scarf left on a branch as I was watching the sunrise from a candlelit library. I carried that peace into the morning. I woke feeling completely at home.,low,"warmth,tenderness,playfulness","companionship,upheaval","running,fish,field"
120,"Near the end, i was losing my teeth but each one that fell out turned into a seed.",moderate,"yearning,melancholy,ambition","nostalgia_for_past,unresolved_conflict,mystery,work_boundary","oranges,clock"
121,"For a moment, i was standing at the edge of the ocean at night and the waves were gentle.",moderate,"anticipation,surprise,sadness,wariness","emotional_processing,time,domestic_stress","dog,soldiers,library,face"
122,I was struggling to escape a burning building with blocked exits. There was a darkness spreading over everything. I felt exposed even after the dream ended. I could not fall back asleep.,high,"grief,stress,pressure,frustration","loss_of_control,hidden_threat,confinement","seed,photograph,table"
123,I was being chased through a panicking crowd pushing toward the edge and noticed a screaming alarm I could not silence. I felt exposed even after the dream ended. I woke in a state of alarm.,high,"humiliation,exposure,terror","collapse,technology_stress","mouth,locker,phoenix,stage"
124,I was running through a storm and the moment I stopped the storm stopped too.,moderate,"suspicion,disconnection,alertness,ambivalence","power,hidden_truth,emotional_processing","skin,light,garage,feet"
125,I found a hidden staircase behind a shelf as I found myself lost in a crowded market where I knew no one. I woke in quiet contemplation. I sensed something unfinished.,moderate,"self_awareness,amusement,nostalgia","identity,uncertainty,hidden_message,work_boundary","sun,writing"
126,The dream began in a crumbling building that shook underfoot. I was being overwhelmed in and came across a wall collapsing toward me. The shame burned even in daylight.,high,"desperation,anxiety,terror,disorientation,shame","public_visibility,modern_stress,vulnerability","bus_stop,tower,eyes"
127,I found a candle already lit in the window as I was listening to music in a bright dining room with family. I felt understood without saying a word. I woke feeling renewed.,low,"hope,nostalgia,tenderness,relief","flow,reflection,grounding","lantern,photograph,food,eagle"
128,"Quietly, i was lost in a foreign city but the signs kept pointing me home.",moderate,"surprise,hesitation,wariness,helplessness","hidden_path,domestic_stress","compass,jar"
129,"In the dream, i was arguing with someone I loved and we were both crying but neither of us wanted to stop.",moderate,"regret,restlessness,confusion,awe,belonging","strategy,warning,social_uncertainty,self_expression","glass,lightning,arguing,document"
130,I sat quietly in a dock over a glassy lake. There was a smiling child reaching up to me. It felt like a small miracle. I carried that warmth into the day.,low,"awe,inspiration,peace","seasonal_comfort,freedom,connection,vulnerability",rabbit
131,I was cooking in a familiar beach at low tide. I found a white dove perched on a fence and smiled at it. I felt hopeful in a way I had almost forgotten.,low,"delight,inspiration,wonder","emotional_balance,spirituality,emotional_overflow","dragon,basket,wave"
132,The dream began in a cracked road crumbling beneath me. I was watching helplessly as everything collapsed in and came across a door that opened onto nothing. My hands were trembling when I finally woke.,high,"anger,frustration,helplessness","time_pressure,privacy",sleeping
133,I was fighting to breathe in a collapsing staircase in a tall tower and noticed a locked door with no handle. I jolted awake with my heart pounding. I lay awake for hours afterward.,high,"instability,disorientation,shame","public_visibility,time_pressure,upheaval,abundance","whispers,legs,jar"
134,I was watching from a distance in a strange hotel with endless hallways. I found a forgotten notebook in my handwriting and could not decide what it meant. Something in the dream asked a question I had not answered. I woke in quiet contemplation.,moderate,"sadness,awe,amusement,disconnection","pause,ambiguity,strategy,domestic_stress",food
135,I was being tested on something I had never studied but the answers came easily.,moderate,"sadness,melancholy,longing","self_expression,alienation,past","porch,bird"
136,I was painting in a moonlit courtyard and noticed an old carved wooden door standing open. I felt a soft joy I could not name. I woke with a sense of belonging.,low,"joy,tenderness,affection,hope,comfort","movement,small_blessing","angels,desert,donkey,stage"
137,I was wandering through an empty theatre with the lights still on. There was a train ticket with no destination. I felt both drawn in and held back. I sensed something unfinished.,moderate,"amusement,unease,reflection,hesitation","uncertainty,work_boundary,survival","rabbit,dove"
