symbol_name,traditional_summary_en,theme_tags,emotion_hints,stress_hint,source_origin
sheep,"May suggest docility, conformity, gentleness, or dependence on others.","docility,conformity,gentleness,dependency","calm,vulnerability,hesitation",low,zhougong
thunder,"May suggest sudden shock, warning, authority, or divine displeasure.","warning,shock,power,spirituality","fear,alertness,awe",moderate,zhougong
lightning,"May suggest sudden insight, destruction, revelation, or intense change.","revelation,shock,destruction,change","awe,fear,clarity",moderate,zhougong
snow,"May suggest purity, distance, emotional coldness, or stillness.","purity,coldness,stillness,isolation","calm,sadness,numbness",moderate,zhougong
fog,"May suggest confusion, obscurity, hidden truth, or uncertainty.","confusion,uncertainty,hidden_truth,disorientation","anxiety,confusion,hesitation",moderate,zhougong
earthquake,"May suggest upheaval, instability, loss of foundation, or major disruption.","upheaval,instability,loss_of_control,change","fear,panic,insecurity",high,zhougong
volcano,"May suggest explosive emotions, suppressed anger, or destructive release.","anger,explosion,suppression,destruction","anger,fear,tension",high,zhougong
stars,"May suggest hope, destiny, guidance, or fading aspirations.","hope,destiny,guidance,change","wonder,longing,sadness",low,zhougong
comet,"May suggest rare events, omens, disruption, or fateful change.","omen,rarity,change,uncertainty","awe,anxiety,anticipation",moderate,zhougong
ring,"May suggest commitment, cycles, promises, or recurring patterns.","commitment,cycle,bond,relationship","hope,security,anxiety",low,zhougong
hat,"May suggest identity, social role, authority, or self-presentation.","identity,authority,role,self_image","confidence,curiosity,pressure",low,zhougong
umbrella,"May suggest protection, emotional shielding, or preparation for stress.","protection,defense,preparedness,security","relief,anxiety,caution",low,zhougong
clock,"May suggest urgency, mortality, deadlines, or awareness of change.","time,urgency,mortality,pressure","anxiety,pressure,regret",high,zhougong
ladder,"May suggest ambition, advancement, risk, or change in status.","advancement,aspiration,risk,status","hope,anxiety,determination",moderate,zhougong
window,"May suggest perspective, possibility, observation, or emotional distance.","perspective,opportunity,awareness,distance","curiosity,hope,longing",low,zhougong
bed,"May suggest rest, vulnerability, intimacy, or recovery.","rest,intimacy,vulnerability,recovery","comfort,desire,fatigue",low,zhougong
chair,"May suggest stability, waiting, authority, or passivity.","stability,waiting,authority,rest","calm,patience,stagnation",low,zhougong
table,"May suggest gathering, negotiation, family matters, or shared decisions.","gathering,decision,family,social_exchange","connection,anticipation,tension",low,zhougong
whispers,"May suggest secrecy, gossip, hidden knowledge, or social anxiety.","secrets,gossip,uncertainty,social_tension","anxiety,curiosity,unease",moderate,zhougong
nose_bleed,"May suggest shame, health strain, or loss of vitality.","health,shame,loss,stress","embarrassment,anxiety,fear",moderate,zhougong
mouth,"May suggest communication, honesty, appetite, or deception.","communication,expression,deception,need","confidence,anxiety,desire",moderate,zhougong
feet,"May suggest humility, grounding, journey, or vulnerability.","humility,journey,grounding,vulnerability","calm,uncertainty,exposure",low,zhougong
arms,"May suggest embrace, protection, relationship, or personal strength.","relationship,protection,strength,connection","comfort,security,longing",low,zhougong
legs,"May suggest movement, pursuit, urgency, or forward drive.","movement,pursuit,urgency,progress","restlessness,determination,anxiety",moderate,zhougong
heart,"May suggest passion, anxiety, vitality, or emotional intensity.","emotion,passion,anxiety,vitality","love,fear,excitement",moderate,zhougong
blood,"May suggest life force, family bonds, sacrifice, or injury.","vitality,family,sacrifice,injury","fear,intensity,loyalty",moderate,zhougong
bones,"May suggest structure, weakness, injury, or foundational issues.","structure,vulnerability,health,foundation","fear,insecurity,pain",high,zhougong
skin,"May suggest renewal, exposure, identity, or sensitivity.","renewal,exposure,identity,vulnerability","shame,relief,sensitivity",moderate,zhougong
hiding,"May suggest avoidance, secrecy, fear, or self-protection.","avoidance,secrecy,fear,protection","fear,anxiety,withdrawal",moderate,zhougong
searching,"May suggest longing, uncertainty, problem-solving, or loss.","quest,uncertainty,loss,desire","curiosity,anxiety,hope",moderate,zhougong
treasure,"May suggest hidden value, talent, luck, or inner resources.","hidden_value,talent,wealth,discovery","joy,hope,excitement",low,zhougong
arguing,"May suggest unresolved tension, frustration, or relationship strain.","conflict,tension,relationship_stress,expression","anger,anxiety,frustration",high,zhougong
reconciling,"May suggest peace, forgiveness, healing, or restored connection.","peace,forgiveness,healing,relationship","relief,hope,warmth",low,zhougong
studying,"May suggest preparation, self-improvement, pressure, or discipline.","learning,preparation,discipline,ambition","focus,anxiety,hope",moderate,zhougong
teaching,"May suggest authority, guidance, responsibility, or sharing wisdom.","guidance,authority,wisdom,responsibility","confidence,duty,care",low,zhougong
games,"May suggest play, competition, strategy, or avoidance of seriousness.","play,competition,strategy,escape","joy,excitement,anxiety",low,zhougong
work,"May suggest duty, effort, ambition, or pressure to perform.","effort,duty,ambition,stress","determination,stress,fatigue",moderate,zhougong
rest,"May suggest recovery, passivity, burnout, or needed pause.","recovery,pause,fatigue,renewal","relief,guilt,calm",low,zhougong
king,"May suggest leadership, authority, judgment, or personal power.","authority,leadership,power,status","confidence,pressure,awe",moderate,zhougong
queen,"May suggest feminine power, grace, nurturance, or sovereignty.","feminine_power,grace,authority,nurture","confidence,warmth,awe",low,zhougong
soldiers,"May suggest conflict, discipline, conformity, or defense.","conflict,discipline,defense,pressure","fear,duty,tension",moderate,zhougong
farmers,"May suggest labor, patience, harvest, or grounded living.","labor,patience,harvest,grounding","calm,duty,hope",low,zhougong
merchants,"May suggest exchange, profit, negotiation, or material concern.","trade,profit,negotiation,opportunity","hope,calculation,anxiety",moderate,zhougong
children,"May suggest innocence, joy, vulnerability, or untapped potential.","innocence,joy,vulnerability,potential","joy,tenderness,concern",low,zhougong
elders,"May suggest wisdom, tradition, guidance, or family duty.","wisdom,tradition,guidance,family","respect,comfort,obligation",low,zhougong
lovers,"May suggest romance, union, longing, or emotional intimacy.","romance,union,intimacy,desire","love,hope,longing",low,zhougong
festivals,"May suggest abundance, celebration, community, or temporary excess.","celebration,abundance,community,joy","joy,excitement,belonging",low,zhougong
funerals,"May suggest closure, transition, mourning, or long life through symbolic ending.","closure,ending,transition,mourning","sadness,relief,reflection",moderate,zhougong
banquets,"May suggest social gain, indulgence, reward, or excess.","social_gain,abundance,indulgence,celebration","joy,desire,overwhelm",low,zhougong
demons,"May suggest temptation, corruption, fear, or destructive impulses.","temptation,corruption,fear,shadow_self","fear,guilt,panic",high,zhougong
heaven,"May suggest reward, transcendence, peace, or spiritual aspiration.","spirituality,reward,peace,aspiration","awe,peace,hope",low,zhougong
hell,"May suggest suffering, guilt, warning, or emotional torment.","suffering,guilt,warning,punishment","fear,guilt,distress",high,zhougong
prayers,"May suggest spiritual need, hope, surrender, or seeking guidance.","spirituality,hope,surrender,guidance","hope,humility,comfort",low,zhougong
temple,"May suggest refuge, devotion, vows, or spiritual focus.","spirituality,refuge,devotion,reflection","peace,reverence,hope",low,zhougong
palace,"May suggest luxury, ambition, status, or distance from ordinary life.","luxury,ambition,status,power","awe,desire,pressure",moderate,zhougong
cave,"May suggest hidden feelings, retreat, secrecy, or deep subconscious material.","secrecy,retreat,subconscious,isolation","fear,curiosity,withdrawal",moderate,zhougong
tower,"May suggest aspiration, isolation, perspective, or emotional distance.","aspiration,isolation,perspective,status","hope,loneliness,awe",moderate,zhougong
gate,"May suggest opportunity, threshold, restriction, or life transition.","threshold,opportunity,barrier,transition","hope,anxiety,anticipation",moderate,zhougong
wall,"May suggest protection, limits, emotional defenses, or separation.","defense,barrier,separation,security","caution,frustration,safety",moderate,zhougong
smiling,"May suggest contentment, social ease, or possible concealment.","contentment,social_connection,appearance,deception","joy,comfort,suspicion",low,zhougong
fear,"May suggest unresolved anxiety, threat sensitivity, or internal alarm.","anxiety,threat,stress,avoidance","fear,panic,unease",high,zhougong
anger,"May suggest suppressed conflict, frustration, or need for assertion.","conflict,frustration,suppression,assertion","anger,tension,irritation",high,zhougong
love,"May suggest fulfillment, attachment, longing, or emotional openness.","attachment,fulfillment,intimacy,connection","love,hope,vulnerability",low,zhougong
hope,"May suggest optimism, resilience, future orientation, or emotional renewal.","optimism,resilience,future,renewal","hope,relief,anticipation",low,zhougong
rainbow,"May suggest promise, hope, reconciliation, or positive transition after hardship.","hope,promise,reconciliation,transition","joy,relief,wonder",low,zhougong
rice,"May suggest daily sustenance, domestic stability, or family provision.","nourishment,stability,family,daily_life","comfort,gratitude,calm",low,zhougong
meat,"May suggest strength, appetite, indulgence, or material desire.","strength,indulgence,appetite,materiality","desire,satisfaction,guilt",moderate,zhougong
wine,"May suggest celebration, pleasure, emotional release, or excess.","celebration,pleasure,release,excess","joy,relaxation,loss_of_control",moderate,zhougong
ears,"May suggest sensitivity to rumor, listening, or social vigilance.","listening,gossip,awareness,social_tension","curiosity,anxiety,alertness",moderate,zhougong
reading,"May suggest wisdom seeking, reflection, or intellectual growth.","knowledge,reflection,learning,growth","curiosity,focus,calm",low,zhougong
writing,"May suggest expression, communication, memory, or desire to be understood.","expression,communication,memory,intention","focus,longing,clarity",low,zhougong
clear_water,"May suggest purity, emotional clarity, healing, or fulfilled needs.","clarity,healing,emotion,purity","calm,relief,hope",low,zhougong
storm,"May suggest turmoil, conflict, emotional upheaval, or sudden disruption.","turmoil,conflict,change,overwhelm","fear,anxiety,tension",high,zhougong
eclipse,"May suggest obscured fortune, temporary loss of clarity, or hidden influences.","obscurity,change,fortune,uncertainty","unease,anxiety,longing",moderate,zhougong
clouds,"May suggest passing thoughts, uncertainty, spiritual signs, or changing mood.","uncertainty,transition,spirituality,mood","calm,curiosity,unease",low,zhougong
shadow,"May suggest hidden fear, unconscious material, danger, or unknown influences.","fear,unknown,subconscious,danger","fear,unease,curiosity",moderate,zhougong
pregnant_body,"May suggest creation, anticipation, emotional burden, or family expansion.","creation,anticipation,family,growth","hope,anxiety,tenderness",moderate,zhougong
stranger_help,"May suggest unexpected support, guidance, or opportunity from outside forces.","support,opportunity,guidance,change","relief,hope,curiosity",low,zhougong
monster_chase,"May suggest overwhelming fear, pressure, avoidance, or unresolved inner conflict.","fear,avoidance,stress,shadow_self","panic,fear,helplessness",high,zhougong
eagle,"May suggest ambition, vision, freedom, or rising above limitation.","ambition,freedom,vision,aspiration","hope,awe,confidence",low,zhougong
owl,"May suggest wisdom, secrecy, omen, or awareness of hidden truth.","wisdom,omen,secrecy,night","curiosity,unease,reflection",moderate,zhougong
peacock,"May suggest pride, beauty, display, or concern with appearance and status.","beauty,vanity,status,self_image","confidence,desire,insecurity",low,zhougong
pigeon,"May suggest returning news, messages, peace, or home connection.","message,peace,return,home","hope,calm,anticipation",low,zhougong
crow,"May suggest warning, bad news, mystery, or ominous awareness.","warning,news,mystery,omen","fear,unease,alertness",moderate,zhougong
swan,"May suggest grace, purity, devotion, or emotional elegance.","grace,purity,devotion,beauty","calm,joy,longing",low,zhougong
bee,"May suggest diligence, small pain, productivity, or social effort.","labor,productivity,pain,community","focus,irritation,duty",low,zhougong
butterfly,"May suggest transformation, fragility, beauty, or emotional change.","transformation,beauty,fragility,change","hope,joy,tenderness",low,zhougong
ant_colony,"May suggest collective labor, persistence, social duty, or accumulated stress.","labor,community,persistence,pressure","duty,stress,focus",moderate,zhougong
scorpion,"May suggest sting, betrayal, hidden danger, or defensive aggression.","danger,betrayal,defense,threat","fear,wariness,anger",high,zhougong
hail,"May suggest sudden damage, emotional shock, or harsh external conditions.","shock,damage,hardship,change","fear,stress,unease",moderate,zhougong
dew,"May suggest freshness, tenderness, a fragile beginning, or brief renewal.","renewal,fresh_start,fragility,calm","hope,calm,tenderness",low,zhougong
frost,"May suggest emotional coldness, delay, distance, or fragile conditions.","coldness,distance,delay,fragility","sadness,numbness,unease",moderate,zhougong
tsunami,"May suggest overwhelming emotion, crisis, loss of control, or sudden upheaval.","overwhelm,crisis,emotion,loss_of_control","panic,fear,helplessness",high,zhougong
meteor,"May suggest sudden change, omens, fleeting opportunity, or falling hopes.","omen,change,rarity,loss","awe,anxiety,longing",moderate,zhougong
constellation,"May suggest guidance, destiny, pattern recognition, or higher meaning.","guidance,destiny,order,meaning","hope,wonder,calm",low,zhougong
necklace,"May suggest bonds, attachment, value, or emotional ties.","bond,attachment,value,relationship","love,security,anxiety",low,zhougong
bracelet,"May suggest beauty, commitment, constraint, or social belonging.","beauty,constraint,bond,status","joy,pressure,curiosity",low,zhougong
earrings,"May suggest listening, adornment, attention, or sensitivity to words.","listening,beauty,attention,communication","curiosity,joy,alertness",low,zhougong
crown,"May suggest authority, honor, recognition, or pressure of responsibility.","authority,honor,status,responsibility","awe,confidence,pressure",moderate,zhougong
rope,"May suggest attachment, rescue, restriction, or a way out of difficulty.","attachment,restriction,rescue,escape","hope,anxiety,tension",moderate,zhougong
chain,"May suggest bondage, obligation, connection, or difficulty breaking free.","bondage,obligation,connection,restriction","helplessness,pressure,fear",high,zhougong
lock,"May suggest secrecy, security, blocked access, or emotional closure.","secrecy,security,barrier,closure","curiosity,frustration,unease",moderate,zhougong
candle,"May suggest hope, spiritual light, fragility, or life force.","hope,spirituality,fragility,illumination","calm,hope,sadness",low,zhougong
lamp,"May suggest insight, clarity, guidance, or a path through darkness.","clarity,guidance,illumination,awareness","relief,hope,focus",low,zhougong
vase,"May suggest beauty, fragility, domestic peace, or emotional containment.","beauty,fragility,home,containment","calm,sadness,care",low,zhougong
pot,"May suggest preparation, pressure building, nourishment, or domestic labor.","preparation,nourishment,pressure,home","anticipation,duty,tension",moderate,zhougong
bowl,"May suggest abundance, receptivity, nourishment, or what one is able to hold.","abundance,receptivity,nourishment,fulfillment","gratitude,calm,contentment",low,zhougong
lungs,"May suggest vitality, breath, anxiety regulation, or life energy.","vitality,breath,health,regulation","relief,anxiety,calm",moderate,zhougong
liver,"May suggest anger, internal strain, stored emotion, or health warning.","anger,health,strain,suppression","anger,tension,unease",moderate,zhougong
stomach,"May suggest hunger, unmet needs, instinct, or emotional emptiness.","need,hunger,vulnerability,instinct","anxiety,longing,fatigue",moderate,zhougong
back,"May suggest support, betrayal, burdens, or what is carried unseen.","support,betrayal,burden,relationship","sadness,wariness,fatigue",moderate,zhougong
neck,"May suggest stubbornness, tension, direction, or difficulty yielding.","tension,stubbornness,direction,control","frustration,stress,rigidity",moderate,zhougong
fingers,"May suggest accusation, precision, blame, or fine control.","blame,control,precision,attention","anxiety,focus,shame",moderate,zhougong
toes,"May suggest gradual progress, balance, vulnerability, or small movement forward.","progress,balance,vulnerability,journey","hope,hesitation,calm",low,zhougong
brain,"May suggest intellect, overthinking, planning, or mental burden.","intellect,planning,overthinking,awareness","focus,anxiety,pressure",moderate,zhougong
veins,"May suggest life force, emotional intensity, inheritance, or inner vitality.","vitality,intensity,family,life_force","fear,awe,alertness",moderate,zhougong
muscles,"May suggest effort, strain, strength, or pressure to endure.","effort,strength,strain,endurance","determination,fatigue,tension",moderate,zhougong
shouting,"May suggest urgency, anger, emotional overflow, or a need to be heard.","urgency,anger,expression,overwhelm","anger,stress,panic",high,zhougong
singing,"May suggest expression, joy, release, or emotional communication.","expression,joy,release,communication","joy,relief,hope",low,zhougong
silence,"May suggest peace, suppression, distance, or emotional isolation.","peace,suppression,isolation,reflection","calm,loneliness,unease",moderate,zhougong
applause,"May suggest approval, recognition, social validation, or achievement.","approval,recognition,achievement,social_status","joy,pride,relief",low,zhougong
booing,"May suggest rejection, shame, criticism, or fear of disapproval.","rejection,criticism,shame,social_judgment","shame,anxiety,fear",high,zhougong
negotiation,"May suggest compromise, conflict resolution, exchange, or strategic balance.","compromise,exchange,conflict_resolution,strategy","focus,anxiety,hope",moderate,zhougong
commanding,"May suggest authority, control, responsibility, or dominance.","authority,control,responsibility,power","confidence,pressure,tension",moderate,zhougong
obeying,"May suggest submission, duty, dependence, or respect for order.","submission,duty,order,dependency","calm,pressure,hesitation",low,zhougong
rebelling,"May suggest upheaval, self-assertion, conflict, or resistance to control.","upheaval,assertion,conflict,resistance","anger,freedom,stress",high,zhougong
meditating,"May suggest inner peace, reflection, healing, or spiritual centering.","peace,reflection,healing,spirituality","calm,relief,clarity",low,zhougong
priest,"May suggest moral guidance, spiritual authority, or need for counsel.","guidance,spirituality,authority,counsel","reverence,hope,comfort",low,zhougong
monk,"May suggest renunciation, discipline, peace, or withdrawal from worldly pressure.","discipline,peace,withdrawal,spirituality","calm,detachment,reflection",low,zhougong
warrior,"May suggest struggle, courage, defense, or conflict readiness.","struggle,courage,defense,conflict","determination,fear,anger",moderate,zhougong
scholar,"May suggest wisdom, study, social advancement, or intellectual burden.","wisdom,study,advancement,intellect","focus,hope,pressure",low,zhougong
artist,"May suggest creativity, self-expression, sensitivity, or emotional imagination.","creativity,expression,sensitivity,beauty","joy,longing,vulnerability",low,zhougong
teenager,"May suggest rebellion, growth tension, identity formation, or emotional volatility.","growth,identity,rebellion,instability","confusion,anger,hope",moderate,zhougong
adult,"May suggest responsibility, labor, maturity, or practical burdens.","responsibility,labor,maturity,duty","duty,stress,stability",moderate,zhougong
old_man,"May suggest aging, wisdom, endings, or ancestral continuity.","wisdom,aging,ending,ancestry","respect,sadness,reflection",low,zhougong
crowd,"May suggest social pressure, belonging, chaos, or collective emotion.","society,pressure,community,chaos","stress,curiosity,belonging",moderate,zhougong
solitude,"May suggest reflection, loneliness, peace, or separation from others.","isolation,reflection,peace,separation","calm,loneliness,sadness",moderate,zhougong
betrayal,"May suggest broken trust, social danger, emotional injury, or suspicion.","betrayal,trust_loss,injury,relationship","hurt,anger,suspicion",high,zhougong
loyalty,"May suggest trust, protection, enduring bonds, or dependable support.","trust,protection,bond,stability","comfort,confidence,warmth",low,zhougong
birthday,"May suggest renewal, aging, attention, or a new personal cycle.","renewal,cycle,identity,celebration","joy,reflection,hope",low,zhougong
evil_spirits,"May suggest corruption, fear, temptation, or unseen harmful influence.","corruption,fear,temptation,threat","fear,panic,unease",high,zhougong
mythical_creatures,"May suggest imagination, extraordinary forces, or symbolic inner power.","imagination,power,mystery,transformation","awe,curiosity,hope",low,zhougong
paradise,"May suggest bliss, reward, peace, or longing for escape from hardship.","bliss,reward,peace,escape","peace,hope,longing",low,zhougong
